text,trans,type
Visual流行雑誌,"Visual 유행 잡지"
対象のアイドルを選んで獲得できるチケットです,대상 아이돌을 선택해 획득할 수 있는 티켓입니다
使用時プロデュースアイドルの体力が中回復します,사용시 프로듀스 아이돌의 체력이 中 회복합니다
使用時プロデュースアイドルのテンションが小アップします,사용시 프로듀스 아이돌의 텐션이 小 올라갑니다,
イルミネーションスターズ\nのキーホルダー,일루미네이션 스타즈\n의 키홀더,
アンティーカの\nキーホルダー,안티카의\n키홀더,
放課後クライマックス\nガールズのキーホルダー,방과후 클라이막스\n걸즈의 키홀더,
アルストロメリアの\nキーホルダー,알스트로메리아의\n키홀더,
ストレイライトの\nキーホルダー,스트레이라이트의\n키홀더,
イルミネーションスターズ\nのタオル,일루미네이션 스타즈\n의 타올,
放課後クライマックス\nガールズのタオル,방과후 클라이막스\n걸즈의 타올,
イベントコミュ 第1話,이벤트커뮤 제1화
高級な取材手帳,"고급 취재 수첩"
最終シーズンの残り３週までの間にランダムなタイミングで「記者登場イベント」が必ず発生します,"최종 시즌 나머지 3주 사이 랜덤인 타이밍에 「기자 등장 이벤트」가 반드시 발생합니다"
敏腕記者の名刺,"민완 기자의 명함"
「記者登場イベント」が発生した時、取材内容の選択肢に関わらず「敏腕記者」が必ず登場します,"「기자 등장 이벤트」가 발생했을 때, 취재 내용의 선택지에 관련없이 「민완 기자」가 반드시 등장합니다"
はづきさんへの差し入れ,"하즈키씨의 반입품"
親愛のお守り,"친애의 부적"
最終シーズンの残り1週までの間に必ず1度「朝コミュ」が起こり、最初に「朝コミュ」か「約束」で親愛度が上昇した時「親愛度急上昇イベント」が必ず発生します,"최종 시즌의 나머지 1주 사이 반드시 1번 「아침 커뮤」가 일어나, 최초로 「아침 커뮤」가 「약속」으로 친애도가 상승했을 때 「친애도 급상승 이벤트」가 반드시 발생합니다"
サポートアイドルのトレーニングに必要なチケットです\n【Exp:50】,서포트 아이돌의 트레이닝에 필요한 티켓입니다\n【Exp:50】
サポートアイドルのトレーニングに必要なチケットです\n【Exp:250】,서포트 아이돌의 트레이닝에 필요한 티켓입니다\n【Exp:250】
サポートアイドルのトレーニングに必要なチケットです\n【Exp:1000】,서포트 아이돌의 트레이닝에 필요한 티켓입니다\n【Exp:1000】
サポートアイドルのトレーニングに必要なチケットです\n【Exp:3000】,서포트 아이돌의 트레이닝에 필요한 티켓입니다\n【Exp:3000】
"プロデュース中の失敗＆大失敗で発生するデメリットを1回無効にします【ファン感謝祭編：失敗＆大失敗発生時にもアイデアが埋まります】","﻿프로듀스중 실패＆대실패로 발생하는 디메리트를 1회 무효로 함【팬 감사제편:실패＆대실패 발생시에도 아이디어가 메워집니다】"
"プロデュース中の失敗＆大失敗で発生するデメリットを2回無効にします【ファン感謝祭編：失敗＆大失敗発生時にもアイデアが埋まります】","프로듀스중 실패＆대실패로 발생하는 디메리트를 2회 무효로 함【팬 감사제편:실패＆대실패 발생시에도 아이디어가 메워집니다】"
"プロデュース開始時に親愛度+5、約束発生率を小アップします","프로듀스 개시시에 친애도+5, 약속 발생율이 소올라갑니다"
"最終シーズンの残り４週までの間にランダムなタイミングで「はづきさんアシストイベント」が必ず発生します","최종 시즌 나머지 4주까지의 사이에 랜덤 타이밍으로 「하즈키씨 어시스트 이벤트」가 반드시 발생합니다"
プロデュース開始時にイルミネーションスターズに所属しているサポートアイドルの絆が中アップします,프로듀스 시작시에 일루미네이션 스타즈에 소속해 있는 서포트 아이돌의 인연이 中 올라갑니다,
プロデュース開始時にアンティーカに所属しているサポートアイドルの絆が中アップします,프로듀스 시작시에 안티카에 소속해 있는 서포트 아이돌의 인연이 中 올라갑니다,
プロデュース開始時に放課後クライマックスガールズに所属しているサポートアイドルの絆が中アップします,프로듀스 시작시에 방과후 클라이맥스걸즈에 소속해 있는 서포트 아이돌의 인연이 中 올라갑니다,
プロデュース開始時にアルストロメリアに所属しているサポートアイドルの絆が中アップします,프로듀스 시작시에 알스트로메리아에 소속해 있는 서포트 아이돌의 인연이 中 올라갑니다,
プロデュース開始時にストレイライトに所属しているサポートアイドルの絆が中アップします,프로듀스 시작시에 스트레이라이트에 소속해 있는 서포트 아이돌의 인연이 中 올라갑니다,
アルストロメリアのタオル,알스트로메리아의 타올,
アルストロメリアに所属しているサポートアイドルの絆が中アップします,알스트로메리아에 소속해 있는 서포트 아이돌의 인연이 中 올라갑니다,
イルミネーションスターズのタオル,일루미네이션 스타즈의 타올,
イルミネーションスターズに所属しているサポートアイドルの絆が中アップします,일루미네이션 스타즈에 소속해 있는 서포트 아이돌의 인연이 中 올라갑니다,
アンティーカのタオル,안티카의 타올,
アンティーカに所属しているサポートアイドルの絆が中アップします,안티카에 소속해 있는 서포트 아이돌의 인연이 中 올라갑니다,
放課後クライマックスガールズのタオル,방과후 클라이맥스걸즈의 타올,
放課後クライマックスガールズに所属しているサポートアイドルの絆が中アップします,방과후 클라이맥스걸즈에 소속해 있는 서포트 아이돌의 인연이 中 올라갑니다,
ストレイライトのタオル,스트레이라이트의 타올,
ストレイライトに所属しているサポートアイドルの絆が中アップします,스트레이라이트에 소속해 있는 서포트 아이돌의 인연이 中 올라갑니다,
流行雑誌,유행 잡지,
使用時流行全てをランダムで変更します,사용시 유행 모두를 랜덤으로 변경합니다,
予定変更付箋,예정 변경 포스트잇,
使用時サポートアイドルの配置をランダムで変更します,사용시 서포트 아이돌의 배치를 랜덤으로 변경합니다,
約束のトワレ,약속의 향수,
プロデュース中の約束発生率を中アップします,프로듀스중의 약속 발생율이 中 올라갑니다,
SSR確定ガシャチケット,SSR 확정 가챠 티켓,
SSR確定ガシャが引けるチケットです,SSR 확정 가챠를 시행하는 티켓입니다,
リカバリーソーダ1/2,리커버리 소다 1/2,
スタミナが最大量の1/2回復します,스태미너가 최대량의 1/2회복합니다,
リカバリーソーダ1/4,리커버리 소다 1/4,
スタミナが最大量の1/4回復します,스태미너가 최대량의 1/4회복합니다,
フェスエントリーチケット,페스엔트리 티켓,
フェス参加権が回復します,페스 참가권이 회복됩니다,
ゴールドトレーニングチケット,골드 트레이닝 티켓,
プラチナトレーニングチケット,플래티넘 트레이닝 티켓,
サポートアイドルのトレーニングに必要なチケットです,서포트 아이돌의 트레이닝에 필요한 티켓입니다,
シルバートレーニングチケット,실버 트레이닝 티켓,
ブロンズトレーニングチケット,브론즈 트레이닝 티켓,
トレーニングチケット,트레이닝 티켓,
イルミネーションスターズのキーホルダー,일루미네이션 스타즈의 키홀더,
イルミネーションスターズに所属しているサポートアイドルの絆が小アップします,일루미네이션 스타즈에 소속해 있는 서포트 아이돌의 인연이 小 올라갑니다,
アンティーカのキーホルダー,안티카의 키홀더,
アンティーカに所属しているサポートアイドルの絆が小アップします,안티카에 소속해 있는 서포트 아이돌의 인연이 小 올라갑니다,
放課後クライマックスガールズのキーホルダー,방과후 클라이맥스걸즈의 키홀더,
放課後クライマックスガールズに所属しているサポートアイドルの絆が小アップします,방과후 클라이맥스걸즈에 소속해 있는 서포트 아이돌의 인연이 小 올라갑니다,
アルストロメリアのキーホルダー,알스트로메리아의 키홀더,
アルストロメリアに所属しているサポートアイドルの絆が小アップします,알스트로메리아에 소속해 있는 서포트 아이돌의 인연이 小 올라갑니다,
ストレイライトのキーホルダー,스트레이라이트의 키홀더,
ストレイライトに所属しているサポートアイドルの絆が小アップします,스트레이라이트에 소속해 있는 서포트 아이돌의 인연이 小 올라갑니다,
使用時プロデュースアイドルの体力が小回復します,사용시 프로듀스 아이돌의 체력이 小 회복합니다,
使用時プロデュースアイドルのテンションが中アップします,사용시 프로듀스 아이돌의 텐션이 中 올라갑니다,
トラブル守り,트러블 방지,
プロデュース中の失敗＆大失敗で発生するデメリットを1回無効にします,프로듀스중의 실패＆대실패로 발생하는 디메리트를 1회 무효로 합니다,
秘密のメモ帳,비밀의 메모장,
プロデュース中に発生するコミュの選択後の結果を見えるようにします,프로듀스중에 발생하는 커뮤의 선택 결과를 보이도록 합니다,
約束のコロン,약속의 오드콜로뉴,
プロデュース中の約束発生率を小アップします,프로듀스중의 약속 발생율이 小 올라갑니다,
アルバムの鍵,앨범의 열쇠,
イベントコミュを解放できるアイテムです,이벤트커뮤를 해방할 수 있는 아이템입니다,
アイドルコミュの鍵,아이돌 커뮤의 열쇠,
アイドルコミュを解放できるアイテムです,아이돌 커뮤를 해방할 수 있는 아이템입니다,
ボーカル基礎知識本,보컬 기초지식책,
プロデュース開始時にVocal＋30します,프로듀스 시작시에 Vocal＋30합니다,
始まりのメッセージカード,시작의 메세지 카드,
プロデュース開始時に親愛度＋5します,프로듀스 시작시에 친애도＋5합니다,
ダンス基礎知識本,댄스 기초지식책,
プロデュース開始時にDance＋30します,프로듀스 시작시에 Dance＋30합니다,
モーニングコミュパン,모닝커뮤빵,
プロデュース中、シーズン１に限り朝コミュ発生率を小アップします,프로듀스중、시즌 1에 한정해 아침 커뮤 발생율이 小올라갑니다,
ビジュアル基礎知識本,비주얼 기초지식책,
プロデュース開始時にVisual＋30します,프로듀스 시작시에 Visual＋30합니다,
リカバリーソーダMAX,리커버리 소다MAX,
スタミナが最大量の同量回復します,스태미너가 최대량까지 회복합니다,
フェスエントリーチケット5,페스엔트리티켓 5,
フェス参加権が5回復します,페스 참가권이 5 회복합니다,
SR以上確定ガシャチケット,SR이상 확정 가챠 티켓,
SR以上確定ガシャが引けるチケットです,SR이상 확정 가챠를 시행하는 티켓입니다,
SSR特訓はづきさん,SSR특훈 하즈키씨,
SR特訓はづきさん,SR특훈 하즈키씨,
フェス参加権が1回復します,페스 참가권이 1회 생깁니다,
283プロのキーホルダー,283프로의 키홀더,
プロデュース開始時にユニットに編成している全サポートアイドルの絆が小アップします,프로듀스 시작시에 유닛에 편성된 전서포트 아이돌의 인연이 小 올라갑니다,
283プロのタオル,283프로의 타올,
プロデュース開始時にユニットに編成している全サポートアイドルの絆が中アップします,프로듀스 시작시에 유닛에 편성된 전서포트 아이돌의 인연이 中 올라갑니다,
283プロのTシャツ,283프로의 티셔츠,
プロデュース開始時にユニットに編成している全サポートアイドルの絆が大アップします,프로듀스 시작시에 유닛에 편성된 전서포트 아이돌의 인연이 大 올라갑니다,
プロデュース開始時にイルミネーションスターズに所属しているサポートアイドルの絆が小アップします,프로듀스 시작시에 일루미네이션 스타즈에 소속해 있는 서포트 아이돌의 인연이 小 올라갑니다,
イルミネーションスターズのTシャツ,일루미네이션 스타즈의 티셔츠,
プロデュース開始時にイルミネーションスターズに所属しているサポートアイドルの絆が大アップします,프로듀스 시작시에 일루미네이션 스타즈에 소속해 있는 서포트 아이돌의 인연이 大 올라갑니다,
プロデュース開始時にアンティーカに所属しているサポートアイドルの絆が小アップします,프로듀스 시작시에 안티카에 소속해 있는 서포트 아이돌의 인연이 小 올라갑니다,
アンティーカのTシャツ,안티카의 티셔츠,
プロデュース開始時にアンティーカに所属しているサポートアイドルの絆が大アップします,프로듀스 시작시에 안티카에 소속해 있는 서포트 아이돌의 인연이 大 올라갑니다,
プロデュース開始時に放課後クライマックスガールズに所属しているサポートアイドルの絆が小アップします,프로듀스 시작시에 방과후 클라이맥스걸즈에 소속해 있는 서포트 아이돌의 인연이 小 올라갑니다,
放課後クライマックスガールズのTシャツ,방과후 클라이맥스걸즈의 티셔츠,
プロデュース開始時に放課後クライマックスガールズに所属しているサポートアイドルの絆が大アップします,프로듀스 시작시에 방과후 클라이맥스걸즈에 소속해 있는 서포트 아이돌의 인연이 大 올라갑니다,
プロデュース開始時にアルストロメリアに所属しているサポートアイドルの絆が小アップします,프로듀스 시작시에 알스트로메리아에 소속해 있는 서포트 아이돌의 인연이 小 올라갑니다,
アルストロメリアのTシャツ,알스트로메리아의 티셔츠,
プロデュース開始時にアルストロメリアに所属しているサポートアイドルの絆が大アップします,프로듀스 시작시에 알스트로메리아에 소속해 있는 서포트 아이돌의 인연이 大 올라갑니다,
ストレイライトのTシャツ,스트레이라이트의 티셔츠,
プロデュース開始時にストレイライトに所属しているサポートアイドルの絆が大アップします,프로듀스 시작시에 스트레이라이트에 소속해 있는 서포트 아이돌의 인연이 大 올라갑니다,
プロデュース開始時にストレイライトに所属しているサポートアイドルの絆が小アップします,프로듀스 시작시에 스트레이라이트에 소속해 있는 서포트 아이돌의 인연이 小 올라갑니다,
ヒーリングタルト,힐링 과일 파이,
ヒーリングフルーツタルト,힐링 과일 타르트,
高級ヒーリングフルーツタルト,고급 힐링 과일 타르트,
プチテンションアロマ,푸치 텐션 아로마,
テンションアロマ,텐션 아로마,
プロデュース中の失敗＆大失敗で発生するデメリットを2回無効にします,프로듀스중의 실패＆대실패로 발생하는 디메리트를 2회 무효로 합니다,
約束のパルファム,약속의 퍼퓸,
プロデュース中の約束発生率を大アップします,프로듀스중의 약속 발생율이 大 올라갑니다,
ボーカル応用知識本,보컬 응용 지식책,
プロデュース開始時にVocal＋60します,프로듀스 시작시에 Vocal+60,
ダンス応用知識本,댄스 응용 지식책,
プロデュース開始時にDance＋60します,프로듀스 시작시에 Dance+60,
ビジュアル応用知識本,비쥬얼 응용 지식책,
プロデュース開始時にVisual＋60します,프로듀스 시작시에 Visual+60,
メンタル基礎知識本,멘탈 기초 지식책,
プロデュース開始時にメンタル＋30します,프로듀스 시작시에 Mental+30,
スキル基礎知識本,스킬 기초 지식책,
プロデュース開始時にSP＋30します,프로듀스 시작시에 SP+30,
283メモリーアルバム,283 메모리 앨범,
プロデュース開始時に親愛度＋10します,프로듀스 시작시에 친애도+10,
こんがりモーニングコミュパン,노르스름한 모닝커뮤빵,
プロデュース中、シーズン１に限り朝コミュ発生率を中アップします,프로듀스중、시즌 1에 한정해 아침 커뮤 발생율을 中 올립니다,
スペシャルモーニングコミュパン,스페셜 모닝커뮤빵,
プロデュース中、シーズン１に限り朝コミュ発生率を大アップします,프로듀스중、시즌 1에 한정해 아침 커뮤 발생율을 大 올립니다,
銅の羽根,동 날개,
プロデュース開始時にユニットに編成している全サポートアイドルの絆が極小アップします,프로듀스 시작시에 유닛에 편성하고 있는 전서포트 아이돌의 인연이 극소 올라갑니다,
プロデュース開始時に編成している全サポートアイドルの絆が極小アップします,프로듀스 시작시에 편성하고 있는 전서포트 아이돌의 인연이 극소 올라갑니다,
銀の羽根,은 날개,
プロデュース中の約束発生率を極小アップします,프로듀스중의 약속 발생율이 극소 올라갑니다,
金の羽根,금 날개,
プロデュース開始時に編成している全サポートアイドルの絆が極小アップし、プロデュース中の約束発生率を極小アップします,프로듀스 시작시에 편성하고 있는 전서포트 아이돌의 인연이 극소 올라가、프로듀스중의 약속 발생율이 극소 올라갑니다,
プロデュース開始時にユニットに編成している全サポートアイドルの絆が極小アップし、プロデュース中の約束発生率を極小アップします,프로듀스 시작시에 유닛에 편성하고 있는 전서포트 아이돌의 인연이 극소 올라가、프로듀스중의 약속 발생율이 극소 올라갑니다,
プラチナの羽根,플래티넘 날개,
プロデュース開始時に編成している全サポートアイドルの絆が小アップし、プロデュース中の約束発生率を小アップします,프로듀스 시작시에 편성하고 있는 전서포트 아이돌의 인연이 小 올라가、프로듀스중의 약속 발생율이 小 올라갑니다,
プロデュース開始時にユニットに編成している全サポートアイドルの絆が小アップし、プロデュース中の約束発生率を小アップします,프로듀스 시작시에 유닛에 편성하고 있는 전서포트 아이돌의 인연이 小 올라가、프로듀스중의 약속 발생율이 小 올라갑니다,
虹の羽根,무지개 날개,
プロデュース開始時に編成している全サポートアイドルの絆が中アップし、プロデュース中の約束発生率を中アップします,프로듀스 시작시에 편성하고 있는 전서포트 아이돌의 인연이 中 올라가、프로듀스중의 약속 발생율이 中 올라갑니다,
プロデュース開始時にユニットに編成している全サポートアイドルの絆が中アップし、プロデュース中の約束発生率を中アップします,프로듀스 시작시에 유닛에 편성하고 있는 전서포트 아이돌의 인연이 中 올라가、프로듀스중의 약속 발생율이 中 올라갑니다,
お手製差し入れ,수제 간식,
Exスキルスポイト,Ex스킬 스포이드,
Exスキルを外す事ができるアイテムです,Ex스킬을 제거할 수 있는 아이템입니다,
オーバーキャストモノクローム交換チケット,오버 캐스트 모노크롬 교환 티켓,
オーバーキャストモノクロームと交換できるチケットです,오버 캐스트 모노크롬과 교환할 수 있는 티켓입니다,
プチセレクションチケット,푸치 셀렉션 티켓,
集めるとチケット交換で特定のアイドルと交換できるチケットです,모으면 티켓 교환으로 특정의 아이돌과 교환할 수 있는 티켓입니다,
SRのプロデュースアイドルを特訓します,SR 프로듀스 아이돌을 특훈합니다,
SRのサポートアイドルを特訓します,SR 서포트 아이돌을 특훈합니다,
SSRのプロデュースアイドルを特訓します,SSR 프로듀스 아이돌을 특훈합니다,
SSRのサポートアイドルを特訓します,SSR 서포트 아이돌을 특훈합니다,
はづきさんシール,하즈키씨씰,
集めると特訓はづきさんと交換できるシールです,모으면 특훈 하즈키씨와 교환할 수 있는 씰입니다,
初心者ミッションS-SRアイドル確定ガシャチケット,초심자 미션 S-SR아이돌 확정 가챠 티켓,
初心者ミッションS-SRアイドル確定ガシャが引けるチケットです\nさらにSRのサポートアイドルを特訓できるアイテムも貰えます,초심자 미션 S-SR아이돌 확정 가챠를 시행하는 티켓입니다\n한층 더 SR의 서포트 아이돌을 특훈할 수 있는 아이템도 받을 수 있습니다,
初心者ミッションSSR20%Pアイドル確定ガシャチケット,초심자 미션 SSR20%P아이돌 확정 가챠 티켓,
初心者ミッションSSR20%Pアイドル確定ガシャが引けるチケットです,초심자 미션 SSR20%P아이돌 확정 가챠를 시행하는 티켓입니다,
初心者ミッション10連ガシャチケット,초심자 미션 10연가챠 티켓,
初心者ミッション10連ガシャが引けるチケットです,초심자 미션 10연가챠를 시행하는 티켓입니다,
ユニット別SR以上確定ガシャチケット,유닛별 SR이상 확정 가챠 티켓,
ユニット別SR以上確定ガシャが引けるチケットです,유닛별 SR이상 확정 가챠를 시행하는 티켓입니다,
セレクションチケットパッケージ10連ガシャチケット,셀렉션 티켓 패키지 10연가챠 티켓,
セレクションチケットパッケージ10連ガシャが引けるチケットです,셀렉션 티켓 패키지 10연가챠를 시행하는 티켓입니다,
283くじ10連ガシャチケット,283 복권 10연가챠 티켓,
283くじ10連ガシャが引けるチケットです,283 복권 10연가챠를 시행하는 티켓입니다,
イルミネSR以上確定ガシャチケット,일루미네 SR이상 확정 가챠 티켓,
イルミネSR以上確定ガシャが引けるチケットです,일루미네 SR이상 확정 가챠를 시행하는 티켓입니다,
アンティーカSR以上確定ガシャチケット,안티카 SR이상 확정 가챠 티켓,
アンティーカSR以上確定ガシャが引けるチケットです,안티카 SR이상 확정 가챠를 시행하는 티켓입니다,
放クラSR以上確定ガシャチケット,방과후 SR이상 확정 가챠 티켓,
放クラSR以上確定ガシャが引けるチケットです,방과후 SR이상 확정 가챠를 시행하는 티켓입니다,
アルストSR以上確定ガシャチケット,알스트로 SR이상 확정 가챠 티켓,
アルストSR以上確定ガシャが引けるチケットです,알스트로 SR이상 확정 가챠를 시행하는 티켓입니다,
SSR7％ガシャチケット,SSR7%가챠 티켓,
SSR7％ガシャが引けるチケットです,SSR7%가챠를 시행하는 티켓입니다,
SSR10％ガシャチケット,SSR10%가챠 티켓,
SSR10％ガシャが引けるチケットです,SSR10%가챠를 시행하는 티켓입니다,
SSR15％ガシャチケット,SSR15%가챠 티켓,
SSR15％ガシャが引けるチケットです,SSR15%가챠를 시행하는 티켓입니다,
対象のSRプロデュースアイドルを選んで獲得できるチケットです,대상 SR프로듀스 아이돌을 선택해 획득할 수 있는 티켓입니다,
ヒーリングタルト(3個入り),"힐링 과일 파이(3개)"
使用時プロデュースアイドルの体力が小回復します(プロデュース中3回まで使用可能),"사용시 프로듀스 아이돌의 체력이 小 회복합니다(프로듀스중 3회까지 사용 가능)"
高級ヒーリングフルーツタルト(2個入り),"고급 힐링 과일 타르트(2개)"
使用時プロデュースアイドルの体力が大回復します(プロデュース中2回まで使用可能),"사용시 프로듀스 아이돌의 체력이 大 회복합니다(프로듀스중 2회까지 사용 가능)"
プロデュース中の約束発生率を中アップします(効果量は約束発生毎に減少し4回で効果がなくなる),"프로듀스중의 약속 발생율이 中 올라갑니다(효과량은 약속 발생마다 감소해 4회에 효과가 없어진다)"
[お1人様3個まで],\n[1인당 3개까지],limit
[お1人様1個まで],\n[1인당 1개까지],limit
[お1人様5つまで],\n[1인당 5개까지],limit
[お1人様1つまで],\n[1인당 1개까지],limit
[月3個まで],\n[월 3개까지],limit
[月2個まで購入可能],\n[월 2개까지 구입 가능],limit
[月5個まで購入可能],\n[월 5개까지 구입 가능],limit
[月10個まで購入可能],\n[월 10개까지 구입 가능],limit
[月25個まで購入可能],\n[월 25개까지 구입 가능],limit
[月100個まで購入可能],\n[월 100개까지 구입 가능],limit
[月3個まで購入可能],\n[월 3개까지 구입 가능],limit
[月1個まで購入可能],\n[월 1개까지 구입 가능],limit
[お1人様5個まで],\n[1인당 5개까지],limit
[お1人様2つまで],\n[1인당 2개까지],limit
[お1人様3つまで],\n[1인당 3개까지],limit
[毎日1個まで購入可能],\n[매일 1개까지 구입 가능],limit
[毎日2個まで購入可能],\n[매일 2개까지 구입 가능],limit
[毎日3個まで購入可能],\n[매일 3개까지 구입 가능],limit
[毎日10個まで購入可能],\n[매일 10개까지 구입 가능],limit
[お1人様2個まで]
[お1人様2個まで],\n[1인당 2개까지],limit
[月5個まで],\n[월 5개까지],limit
2個入り,2개,note
3個入り,3개,note
2冊入り,2권,note
3冊入り,3권,note
プロデュース,프로듀스,note
サポート,서포트,note
プロデュース中2回まで使用可能,프로듀스중 2회까지 사용 가능,note
プロデュース中3回まで使用可能,프로듀스중 3회까지 사용 가능,note
効果量は約束発生毎に減少し4回で効果がなくなる,효과량은 약속 발생마다 감소해 4회에 효과가 없어진다,note
