name,ja,zh
checkin.attention,※ チェックイン機能はインターネットに接続できる環境でご利用ください。\n※ チェックイン機能は周囲の環境(測位場所・天候)や、お客様の通信状況、通信機器等によっては\n  正しく動作しない場合がございます。予めご了承ください。\n※「チェックインスポット」には有効期間やチェックイン可能な回数などの制限がございます。\n  詳細は「チェックインスポット」ごとに記載されている情報をご参照ください。\n※ お客様の位置情報を外部ツールで書き換える行為など、弊社が不適切と判断した行為は、利用規約に\n  抵触する行為として適切な処理を行う場合がございます。\n※ 許可なく立ち入ってはいけない場所や建物には入らないようご注意ください。\n※「チェックインスポット」に設定されている店舗やイベント会場への直接のお問い合わせは\n  ご遠慮いただきますようお願いいたします。\n※ チェックインには「お客様の位置情報」を使用します。取得したお客様の情報は弊社が別途定める\n  個人情報保護方針(プライバシーポリシー)に従い管理いたします。\n※ チェックイン機能に関するお問い合わせは以下のFAQページよりお願いいたします。\n,"※ 체크인 기능은 인터넷에 접속할 수 있는 환경에서 이용하십시오.\n※ 체크인 기능은 주위 환경(측위 장소·날씨)이나, 고객의 통신 상황, 통신 기기 등에 따라서는\n올바르게 동작하지 않는 경우가 있습니다. 미리 양해 부탁드립니다.\n※「체크인 스팟」에는 유효기간이나 체크인 가능한 횟수 등의 제한이 있습니다.\n자세한 것은 「체크인 스팟」마다 기재되어 있는 정보를 참조하세요.\n※ 손님의 위치 정보를 외부 툴로 고쳐 쓰는 행위 등, 당사가 부적절이라고 판단한 행위는, 이용 규약에\n 저촉하는 행위로서 적절한 처리를 실시하는 경우가 있습니다.\n※ 허가없이 들어가서는 안 되는 장소나 건물에는 들어가지 않게 주의해 주세요.\n※「체크인 스팟」으로 설정되어 있는 점포나 행사장으로의 직접 문의는\n삼가해 주시기 바랍니다. \n※ 체크인에는 「고객의 위치정보」를 사용합니다. 취득한 고객 정보는 당사가 별도로 정하는\n개인정보 보호 방침(프라이버시 정책)에 따라 관리하겠습니다. \n※ 체크인 기능에 관한 문의는 아래의 FAQ 페이지에서 부탁드립니다.\n"
availableInform.title,アイテム有効期限のお知らせ,아이템 유효기간의 소식
availableInform.description,アイテムの有効期限が                 となっております\n有効期限が過ぎますと\n%{contentName}の\n使用ができなくなります,아이템의 유효기간이                 되고 있습니다\n유효기간이 지나면\n%{contentName}의\n사용을 할 수 없게 됩니다
availableInform.remainTime,あと%{remainTime},앞으로 %{remainTime}
achievementRewardDialog.message,以下のアイテムがプレゼントBOXに送られました,이하의 아이템이 선물 BOX에 보내졌습니다
achievementRewardDialog.rewardNameNum,%{name} x %{num},
beginnerMission.headerTitle,初心者ミッション,초심자 미션
beginnerMission.detailPopTitle,初心者ミッション詳細,초심자 미션 상세
beginnerMission.receivePopTitle,初心者ミッション達成,초심자 미션 달성
downLoad.confirmTitle,データダウンロード,데이터 다운로드
downLoad.confirmComment,ゲームデータを一括でダウンロードし、端末に保存します\r\rゲーム中の読み込み時間が減るため、より快適にプレイすることができます\r最大約 %{gb} GB のデバイスの空き容量が必要となります,게임 데이터를 일괄로 다운로드해、단말에 저장합니다\r\r게임중의 read 시간이 줄어들기 때문에、보다 쾌적하게 플레이 할 수가 있습니다\r최대 약%{gb} GB의 디바이스의 빈 용량이 필요합니다
downLoad.persistMessageMobile,データダウンロードを開始するためには\\rアイドルマスターシャイニーカラーズのURL(shinycolors.enza.fun)を\\rホーム画面に追加、またはブックマークする必要があります,데이터 다운로드를 개시하기 위해서는\\r아이돌마스터 샤이니컬러즈의 URL(shinycolors.enza.fun)을\\r홈 화면에 추가、또는 북마크할 필요가 있습니다
downLoad.persistMessagePc,データダウンロードを開始するためには\nアイドルマスターシャイニーカラーズのURL(shinycolors.enza.fun)を\nブックマークする必要があります,데이터 다운로드를 개시하기 위해서는\n아이돌마스터 샤이니컬러즈의 URL(shinycolors.enza.fun)을\n북마크할 필요가 있습니다
downLoad.deleteTitle,ダウンロードデータ削除,다운로드 데이터 삭제
downLoad.deletingComment,データを削除中です\n,데이터를 삭제중입니다\n
downLoad.deletedComment,データ削除が完了しました\n,데이터 삭제가 완료되었습니다\n
downLoad.completeMessage,ダウンロードが完了しました,다운로드가 완료되었습니다
comic.categories.web,WEB４コマ,WEB4컷만화
comic.categories.special,特別編,특별편
comic.categories.limited,限定４コマ,한정4컷
comic.otherUnitName,[その他],[그 외]
comic.storyNumberText,第%{chapter}話,제%{chapter}화
comic.filterTitle,４コマ漫画検索,4컷만화 검색
comic.notFound,条件に合うものが見つかりません,조건에 맞는 것이 발견되지 않았습니다
comic.paginationLabel,%{currentPage} / %{maxPage},
comic.openAt,%{openAt}更新,%{openAt}갱신
comic.charactersDialogTitle,登場人物一覧,등장 인물 일람
splash.message,■ご注意■\nこのゲームは無料で遊ぶことができますが、\n一部有料のコンテンツがあります。\n\n■未成年の方へ■\n未成年の方が有料コンテンツを購入する場合は、 \n必ず法定代理人（ご両親等）の同意を得てから\n購入してください。\n※ないようがわからないときは\nおうちのひとにがめんをみせてください\n,■주의■\n이 게임은 무료로 즐길수 있습니다만、\n일부 유료의 컨텐츠가 있습니다. \n\n■미성년자에게■\n미성년자가 유료 컨텐츠를 구입하는 경우、\n 반드시 법정 대리인(부모님 등) 의 동의를 얻고 나서\n구입해 주세요. \n※내용이 이해가 안되는 경우에는\n다른 분에게 화면을 보여주세요\n
announce.event,イベント,이벤트
announce.campaign,キャンペーン,캠페인
announce.gasha,ガシャ,가챠
announce.update,アップデート,업데이트
announce.maintenance,メンテナンス,유지보수
announce.problem,不具合,결함
announce.ticket,チケット,티켓
businessSlotExpansion,追加営業枠,추가 영업범위
bnCoin,バナコイン,바나코인
characterAlbum.tab.voice,ボイス,음성
characterAlbum.tab.costume,衣装,의상
characterAlbum.tab.commu,共通コミュ,공통 커뮤
characterAlbum.tab.pIdol,アイドル,아이돌
characterAlbum.tab.sIdol,アイドル,아이돌
characterAlbum.tab.profile,プロフィール,프로필
characterAlbum.menu.itemCountLabel.released,解放数,해방수
characterAlbum.menu.itemCountLabel.possession,所持数,소지수
characterAlbum.commu.albumType.wing,W.I.N.G.編,W.I.N.G.편
characterAlbum.commu.albumType.fan_meeting,283プロダクション ファン感謝祭編,283프로덕션 팬 감사제편
characterAlbum.commu.albumType.common,共通,공통
characterAlbum.voiceDetailPop.title,ボイス詳細,음성 상세
characterAlbum.voiceDetailPop.useItem.title,%{itemName}を使ってボイスを解放できます,%{itemName}를 사용해 음성을 해방할 수 있습니다
characterAlbum.voiceDetailPop.notice,%{itemName}での解放は%{date}より可能です,%{itemName}로 해방은%{date}후에 가능합니다
common.day,%{day}日,%{day}일
common.hour,%{hour}時間,%{hour}시간
common.min,%{min}分,%{min}분
common.sec,%{sec}秒,%{sec}초
common.title,称号,칭호
common.login,ログイン,로그인
common.item,アイテム,아이템
common.exSkill,Exスキル,Ex스킬
common.people,%{num}人,%{num}명
common.sheet,%{num}枚,%{num}매
common.expireDatetimeString,mm/dd HH:MMまで,mm/dd HH:MM까지
common.plusMessage,+%{name},
common.pIdol,プロデュースアイドル,프로듀스 아이돌
common.sIdol,サポートアイドル,서포트 아이돌
common.quantityMessage,x%{quantity},
common.quantityMessageWithName,%{name} x%{quantity},
common.remainingTimeMessage,あと %{min}:%{sec},앞으로 %{min}:%{sec}
common.lv,Lv.%{level},
common.staff,はづき,하즈키
common.staffAbsence,（はづきの書置き）,(하즈키의 메모)
common.horizontalEllipsis,...,
common.selectPaymentMethodTitle,決済方法選択,결제방법 선택
common.exchangeItemForAlbum,アルバムの鍵,앨범의 열쇠
common.gaugeNumberMessage,%{progress}/%{progressMax},
common.leftBracket,【,
common.rightBracket,】,
common.bulletPoint,・,
common.useItemToReleaseSomething,%{itemName}を使用して\r%{releasedThingName}を解放しました,%{itemName}를 사용해\r%{releasedThingName}(을)를 해방했습니다
common.commu,コミュ,커뮤
common.voice,ボイス,음성
common.nicknameChangedForRanking.title,ご案内,안내
common.nicknameChangedForRanking.message,ランキング上の表示は\r次回集計時に反映されます,랭킹상의 표시는\r다음번 집계시에 반영됩니다
common.recoveryItem,回復アイテム,회복 아이템
common.enhancementItem,トレーニングチケット,트레이닝 티켓
common.gashaTicket,ガシャチケット,가챠 티켓
common.scoutTicket,セレクションチケット,셀렉션 티켓
common.lotteryTicket,283くじ,283복권
common.dailyLotteryTicket,まいにちくじ,매일 복권
common.produceItem,プロデュースアイテム,프로듀스 아이템
common.staffItemPoint,はづきさんシール,하즈키씨 씰
common.ticketNum,%{num}枚,%{num}매
commonMenu.bannerListTitle,キャンペーン一覧,캠페인 일람
commonMenu.fesIdolLimit.title,フェスアイドル所属上限,페스아이돌 소속 상한
commonMenu.fesIdolLimit.text,これ以上フェスアイドルを所属させられません\nフェスアイドル詳細画面から移籍を行ってください,더 이상 페스아이돌을 소속할 수 없습니다\n페스아이돌 상세 화면에서 이적을 실시해 주세요
commonMenu.produceRetire.title,プロデュース終了,프로듀스 종료
commonMenu.menuPop.title,メニュー,메뉴
commonMenu.backToTitleConfirm.title,タイトルへ戻る,타이틀에 돌아온다
commonMenu.backToTitleConfirm.text,タイトルへ戻ります。\nよろしいですか？,타이틀에 돌아옵니다. \n좋습니까?
commonMenu.dataLinkPop.title,機種変更・データ連携,기종 변경·데이터 연계
commonMenu.dataLinkConfirmPop.title,データ連携確認,데이터 연계 확인
commonMenu.loginPop.title,ログイン,로그인
commonMenu.loginConfirm.title,ログイン確認,로그인 확인
concert.judgeDetailDialog.titles.judge.vocal,Vocal審査員,Vocal심사원
concert.judgeDetailDialog.titles.judge.dance,Dance審査員,Dance심사원
concert.judgeDetailDialog.titles.judge.visual,Visual審査員,Visual심사원
concert.judgeDetailDialog.titles.instructor.vocal,Vocalコーチ,Vocal코치
concert.judgeDetailDialog.titles.instructor.dance,Danceコーチ,Dance코치
concert.judgeDetailDialog.titles.instructor.visual,Visualコーチ,Visual코치
concert.judgeDetailDialog.titles.fan.vocal,Vocal重視の観客,Vocal중시 관객
concert.judgeDetailDialog.titles.fan.dance,Dance重視の観客,Dance중시 관객
concert.judgeDetailDialog.titles.fan.visual,Visual重視の観客,Visual중시 관객
concert.judgeDetailDialog.titles.audience.vocal,Vocalステージの観客,Vocal스테이지의 관객
concert.judgeDetailDialog.titles.audience.dance,Danceステージの観客,Dance스테이지의 관객
concert.judgeDetailDialog.titles.audience.visual,Visualステージの観客,Visual스테이지의 관객
concert.judgeDetailDialog.titles.audience.all,Centerステージの観客,Center스테이지의 관객
concert.judgeDetailDialog.titles.judge,%{attribute}審査員,%{attribute}심사원
concert.judgeDetailDialog.titles.instructor,%{attribute}コーチ,%{attribute}코치
concert.judgeDetailDialog.titles.fan,%{attribute}重視の観客,%{attribute}중시 관객
concert.playerIdol.retire,Retire,
concert.produceIdolComment,私の歌、届け！,나의 노래、닿아라!
concert.pauseDialog.produceSkill,プロデュースアイドル所持スキル,프로듀스 아이돌 소지 스킬
concert.pauseDialog.supportSkill,サポートアイドル所持スキル,서포트 아이돌 소지 스킬
concert.passiveSkillDetailListDialog.title,発動中のパッシブスキル,발동중의 패시브 스킬
concert.passiveSkillDetailListDialog.emptyMessage,効果情報はありません,효과 정보는 없습니다
concert.statusEffect.leftTurn,残り%{leftTurn}ターン,나머지%{leftTurn}턴
concert.statusEffect.remainTimes,残り%{remainTimes}回,나머지%{remainTimes}회
concert.statusEffect.noStatusEffectMessage,効果情報はありません,효과 정보는 없습니다
concertResult.entryNumber,エントリーNo.%{number},엔트리 No.%{number}
concertResult.statusUp.message,+%{upPoint},
copyright.title,コピーライト,CopyRight
copyright.holders.bne.title,権利表記,권리 표기
copyright.holders.bne.message,© 2018 BANDAI NAMCO Entertainment Inc.,© 2018 BANDAI NAMCO Entertainment Inc.
countdown.season,シーズン%{seasonNum}終了まで,제%{seasonNum}종료까지
userDailyLottery.rewardPop.title,まいにちくじ抽選結果,매일 복권 추첨 결과
userDailyLottery.rewardPop.text,以下のアイテムがプレゼントBOXに送られました,이하의 아이템이 선물 BOX에 보내졌습니다
