ja,zh
親愛度UP/体力回復/トークUP,"친애도 UP/체력 회복/토크 UP"
親愛度UP/体力回復/ラジオUP,"친애도 UP/체력 회복/라디오 UP"
親愛度UP/体力回復/限定スキル解放,"친애도 UP/체력 회복/한정 스킬 해방"
親愛度UP/体力回復/雑誌UP,"친애도 UP/체력 회복/잡지 UP"
親愛度UP/体力回復/DaレッスンUP,"친애도 UP/체력 회복/Da레슨 UP"
親愛度UP/体力回復/ViレッスンUP,"친애도 UP/체력 회복/Vi레슨 UP"
親愛度UP/体力回復/VoレッスンUP,"친애도 UP/체력 회복/Vo레슨 UP"
[条件:ダンスレッスン][確率:10%],"[조건:댄스 레슨][확률:10%]"
[条件:ダンスレッスン][確率:100%],"[조건:댄스 레슨][확률:100%]"
[条件:ダンスレッスン][確率:20%],"[조건:댄스 레슨][확률:20%]"
[条件:ダンスレッスン][確率:30%],"[조건:댄스 레슨][확률:30%]"
[条件:ダンスレッスン][確率:40%],"[조건:댄스 레슨][확률:40%]"
[条件:トークイベントに出演][確率:10%],"[조건:토크 이벤트에 출연][확률:10%]"
[条件:トークイベントに出演][確率:100%],"[조건:토크 이벤트에 출연][확률:100%]"
[条件:トークイベントに出演][確率:20%],"[조건:토크 이벤트에 출연][확률:20%]"
[条件:トークイベントに出演][確率:30%],"[조건:토크 이벤트에 출연][확률:30%]"
[条件:トークイベントに出演][確率:40%],"[조건:토크 이벤트에 출연][확률:40%]"
[条件:ビジュアルレッスン][確率:10%],"[조건:비주얼 레슨][확률:10%]"
[条件:ビジュアルレッスン][確率:100%],"[조건:비주얼 레슨][확률:100%]"
[条件:ビジュアルレッスン][確率:20%],"[조건:비주얼 레슨][확률:20%]"
[条件:ビジュアルレッスン][確率:30%],"[조건:비주얼 레슨][확률:30%]"
[条件:ビジュアルレッスン][確率:40%],"[조건:비주얼 레슨][확률:40%]"
[条件:ボーカルレッスン][確率:10%],"[조건:보컬 레슨][확률:10%]"
[条件:ボーカルレッスン][確率:100%],"[조건:보컬 레슨][확률:100%]"
[条件:ボーカルレッスン][確率:20%],"[조건:보컬 레슨][확률:20%]"
[条件:ボーカルレッスン][確率:30%],"[조건:보컬 레슨][확률:30%]"
[条件:ボーカルレッスン][確率:40%],"[조건:보컬 레슨][확률:40%]"
[条件:ラジオの収録][確率:10%],"[조건:라디오의 수록][확률:10%]"
[条件:ラジオの収録][確率:100%],"[조건:라디오의 수록][확률:100%]"
[条件:ラジオの収録][確率:20%],"[조건:라디오의 수록][확률:20%]"
[条件:ラジオの収録][確率:30%],"[조건:라디오의 수록][확률:30%]"
[条件:ラジオの収録][確率:40%],"[조건:라디오의 수록][확률:40%]"
[条件:雑誌の撮影][確率:100%],"[조건:잡지의 촬영][확률:100%]"
パーフェクトアピール,퍼펙트 어필
たぶん大丈夫だろう\nこれでお願いしようかな？,아마 괜찮을꺼야\n이것으로 부탁할까?
ちょっと心配だけど……\nこれでお願いしようかな？,조금 걱정되지만……\n이것으로 부탁할까?
"流行順位が高いジャンルは、そのジャンル\r担当審査員からの獲得スターが増加します。","유행 순위가 높은 장르는, 그 장르 담당\r심사원으로부터의 획득 스타가 증가합니다."
流行の結果にあわせて、\nオーディションを受けてみてください♪,유행 결과에 맞추어、\n오디션을 받아 주세요♪
プライベートの様子,프라이버시의 모습
レッスンの様子,레슨의 모습
仕事の様子,일의 모습
いい記事を書いてもらえそうだ！\nこれでお願いしようかな？,좋은 기사를 받을 수 있을 것 같다!\n이것으로 부탁할까?
スタミナを消費してプロデュースを開始しますか？,스태미너를 소비해 프로듀스를 개시합니까?
昇格ライン,승격 라인
残留ライン,잔류 라인
週,주
審査員,심사원
プロデュースアイテム,프로듀스 아이템
まとめて消費した数に応じて獲得マニーUP!!,총 소비한 수에 따라 획득 머니 UP!!
フェス参加権を　　消費します,페스  참가권을　　  소비합니다
難易度ボーナス,난이도 보너스
特訓4回目で解放,특훈 4회째로 해방
特訓3回目で解放,특훈 3회째로 해방
特訓2回目で解放,특훈 2회째로 해방
特訓1回目で解放,특훈 1회째로 해방
同じ効果のプロデュースアイテムを複数持ち込む\nことはできません,같은 효과의 프로듀스 아이템을 복수 반입하는\n것은 할 수 없습니다
アイテムを\n選択していません,아이템을 선택하고\n있지 않습니다
レッスンやお仕事、オーディションを通してアイドルをプロデュースできます。ファンを集めて各シーズン目標を達成し、W.I.N.G.優勝を目指しましょう！,레슨이나 영업、오디션을 통해 아이돌을 프로듀스할 수 있습니다. 팬을 모아 각 시즌 목표를 달성해、W.I.N.G. 우승을 목표로 합시다!
ファン感謝祭に向けてアイデアを集めることで、アイドルを成長させることができます。仲間と協力して最高のパフォーマンスを作り、ファン感謝祭を成功させましょう！,팬 감사제에 향하여 아이디어를 모으는 것으로、아이돌을 성장시킬 수가 있습니다. 동료와 협력해 최고의 퍼포먼스를 만들어、팬 감사제를 성공시킵시다!
W.I.N.G.編シーズン２をクリアしフェスアイドルを誕生させると解放,W.I.N.G. 편 시즌 2를 클리어 해 페스아이돌을 탄생시키면 해방
プロデュース選択,프로듀스 선택
ユニット編成,유닛 편성
アイテム選択,아이템 선택
最大100件一度に受け取ることが可能です。\r達成済みのミッションは未達成のミッションの下部に表示されます。,최대 100건을 한 번에 받는 것이 가능합니다\r달성이 끝난 미션은 미달성 미션의 하단에 표시됩니다
最大100件一度に受け取ることが可能です\r達成済みのミッションは未達成のミッションの下部に表示されます,최대 100건을 한 번에 받는 것이 가능합니다\r달성이 끝난 미션은 미달성 미션의 하단에 표시됩니다
お手製差し入れを作成しました,수제 반입을 작성했습니다
営業完了まで,영업 완료까지
お手製差し入れ,수제 반입
未選択,미선택
TV出演,TV출연
ミニライブ,미니 라이브
雑誌インタビュー,잡지 인터뷰
ミッションはすべて達成しました,미션은 모두 달성했습니다
所持枠を超えているものはプレゼントボックスに送られました,소지범위를 넘는 것은 선물 박스에 보내졌습니다　　　　　　
ミニライブでは、短い時間で多くの経験値を獲得できます♪\nただし、営業完了後にもらえるアイテムも少なめです,미니 라이브에서는、짧은 시간에 많은 경험치를 획득할 수 있습니다♪\n다만、영업 완료 후에 받을 수 있는 아이템은 적습니다
TV出演では、たくさんファンを増やすことができます♪\n経験値もためられますし、バランスのいい営業先だと言えますね～,TV출연에서는、많은 팬을 늘릴 수가 있습니다♪\n경험치도 모아 둘 수 있고、밸런스가 좋은 영업처라고 말할 수 있네요~
雑誌インタビューでは、他より多めにアイテムをもらうことができます♪\nですが、その分営業完了までの時間も長めになっています～,잡지 인터뷰에서는、보다 넉넉하게 아이템을 받을 수 있습니다♪\n다만、그 만큼 영업 완료까지의 시간도 길게 되어 있습니다~
以下の内容で営業を開始しますか？,이하의 내용으로 영업을 개시합니까?
アイテムを\r選択していません,아이템을 선택하고\r있지 않습니다
ラジオの収録,라디오 수록
トークイベントに出演,토크 이벤트에 출연
雑誌の撮影,잡지의 촬영
ボーカルレッスン,보컬 레슨
ダンスレッスン,댄스 레슨
ビジュアルレッスン,비주얼 레슨
そろそろお休みを\nあげた方がいいですよ～,슬슬 휴가를\n주는 것이 좋아요~
アイドルの体力が少ないとトラブルが発生しやすく\nなりますので、こまめに休ませてあげましょう,아이돌의 체력이 적으면 트러블이 발생하기 \n쉽기 때문에、세세하게 쉬게 해 줍시다
オーディションへ行きませんか？,오디션에 가지 않습니까?
「流行の1位」と「育てたアイドルのタイプ」が\n一致した時はオーディション合格のチャンスです,「유행 1위」와 「프로듀스중인 아이돌의 타입」이\n일치했을 때는 오디션 합격의 찬스입니다
選択されたスキルは忘れてしまいます。\nよろしいですか？,선택된 스킬은 잊어집니다. \n괜찮습니까?
忘れたスキルは再度習得できません,잊은 스킬은 재차 습득할 수 없습니다
3人以上のアイドルと絆を赤ゲージにする\nシーズン3最終週のみ挑戦可能,3명 이상의 아이돌과 인연을 빨강 게이지로 한다\n시즌3 최종 주에만 도전 가능
アイドルランクC以上,아이돌 랭크 C이상
アイドルランクE以上,아이돌 랭크 E이상
アイドルランクD以上,아이돌 랭크 D이상
アイドルランクF以上,아이돌 랭크 F이상
アイドルランクS以上,아이돌 랭크 S이상
アイドルランクB以上,아이돌 랭크 B이상
アイドルランクA以上,아이돌 랭크 A이상
プロデューサー就任から,"프로듀서가 취임한 후로"
日経過,"일 경과"
日記念まであと,"일기념까지 앞으로"
お待たせしました~結果の発表です。,오래 기다리셨습니다~결과의 발표입니다.
メンタル500以上\nシーズン4最終週のみ挑戦可能,멘탈 500이상\n시즌4 최종 주에만 도전 가능
ミッション達成,미션 달성
以下のミッションを達成しました。\rミッションページで以下の報酬を受け取りましょう。,이하의 미션을 달성했습니다. \r미션 페이지로 이하의 보수를 받읍시다.
購入上限,구입 상한
所持チケット一覧,소지 티켓 일람
アイテムがありません。,아이템이 없습니다.
ログインボーナスのプレゼントです,로그인 보너스의 선물입니다
以下のプレゼントを受け取りました,이하의 선물을 받았습니다
以下のチケットを使って、\rアイドルをトレーニングしますか？,이하의 티켓을 사용해、\r아이돌을 트레이닝 합니까?
以下のプロデュースアイテムとスタミナを消費して\rプロデュースを開始しますか？,이하의 프로듀스 아이템과 스태미너를 소비해\r프로듀스를 개시합니까?
ファン感謝祭編,팬 감사제편
習得可能なスキルがありません,습득 가능한 스킬이 없습니다
アイドルA,아이돌A
アイドルB,아이돌B
アイドルC,아이돌C
アイドルD,아이돌D
アイドルE,아이돌E
プロデューサーさん\n今回は初めてのアイドルプロデュースになりますので\n私がサポートさせていただきますね〜,게임 성능문제 때문에\n튜토리얼은 번역하지 않습니다\n스킵 부탁드립니다~
累計ファン人数,누계 팬 인원수
"Vocal上限＋200","Vocal상한+200"
"Dance上限+200","Dance상한+200"
"Visual上限+200","Visual상한+200"
"メンタルダメージ30％CUT[3ターン]/Vocal50％UP[2ターン]","﻿멘탈데미지30%CUT[3턴]/Vocal50%UP[2턴]"
"メンタル上限+100","멘탈상한+100"
"メンタル上限+50","멘탈상한+50"
"メンタル5％回復","멘탈5%회복"
"メンタル10％回復/メンタルダメージ20％CUT[3ターン]/Vocal50％UP[2ターン]","멘탈10%회복/멘탈데미지20%CUT[3턴]/Vocal50%UP[2턴]"
"全観客にVisual2倍アピール","전관객에게 Visual2배 어필"
"全観客にVocal2倍アピール","전관객에게 Vocal2배 어필"
"必ず最後にアピールを行いDance2倍アピール/興味50％UP[2ターン]","반드시 마지막에 어필을 해 Dance2배 어필/흥미50%UP[2턴]"
"必ず最後にアピールを行いVisual2倍アピール/興味50%UP[2ターン]","반드시 마지막에 어필을 해 Visual2배 어필/흥미50%UP[2턴]"
"思い出ゲージ15％UP/Visual50％UP[2ターン]","추억게이지15%UP/Visual50%UP[2턴]"
"注目度50％DOWN[3ターン]/アピールフェイズ開始時メンタル5％回復[3ターン]/Vi50％UP[2ターン]","주목도50%DOWN[3턴]/어필페이즈 개시시 멘탈5%회복[3턴]/Vi50%UP[2턴]"
"Dance上限+100","Dance상한+100"
"Dance上限+25","Dance상한+25"
"Dance上限+30","Dance상한+30"
"Dance上限+50","Dance상한+50"
"Dance＆Visual上限＋15","Dance＆Visual상한＋15"
"Dance＆Visual上限＋25","Dance＆Visual상한＋25"
"Dance＆Visual上限＋70","Dance＆Visual상한＋70"
"Dance＆Visual2倍アピール","Dance＆Visual2배 어필"
"Dance＆Visual3倍アピール","Dance＆Visual3배 어필"
"Dance＆Visual2倍アピール/Dance＆Visual20％UP[3ターン]","Dance＆Visual2배 어필/Dance＆Visual20%UP[3턴]"
"Dance＆Visual2.1倍アピール","Dance＆Visual2.1배 어필"
"Dance＆Visual2.2倍アピール","Dance＆Visual2.2배 어필"
"Dance＆Visual2.3倍アピール","Dance＆Visual2.3배 어필"
"Dance0.6～3倍アピール[メンタルが多いほど効果UP]/アピールフェイズ開始時メンタル5％回復[4ターン]","Dance0.6~3배 어필[멘탈이 많을수록 효과 UP]/어필페이즈 개시시 멘탈5%회복[4턴]"
"Dance0.8～4倍アピール[思い出ゲージが多いほど効果UP]/思い出ゲージ30％DOWN","Dance0.8~4배 어필[추억게이지가 많을수록 효과UP]/추억게이지30%DOWN"
"Dance1倍アピール","Dance1배 어필"
"Dance2倍アピール","Dance2배 어필"
"Dance2倍アピール/ごく稀に現在の興味値に関わらず一気に満足させる","Dance2배 어필/매우 드물게 현재의 흥미치에 관련없이 단번에 만족시킨다"
"Dance2.1倍アピール","Dance2.1배 어필"
"Dance2.3倍アピール","Dance2.3배 어필"
"Dance2.5倍アピール","Dance2.5배 어필"
"Dance2.5倍アピール/興味70％DOWN[1ターン]","Dance2.5배 어필/흥미70%DOWN[1턴]"
"Dance2.5倍アピール/Vocal＆Visual20％UP[3ターン]","Dance2.5배 어필/Vocal＆Visual20%UP[3턴]"
"Dance2.6倍アピール","Dance2.6배 어필"
"Dance2.8倍アピール","Dance2.8배 어필"
"Dance3倍アピール","Dance3배 어필"
"Dance3倍アピール/メンタルダメージ20％CUT[2ターン]","Dance3배 어필/멘탈데미지20%CUT[2턴]"
"Dance3倍アピール/Vocal&Dance15％UP[3ターン]","Dance3배 어필/Vocal&Dance15%UP[3턴]"
"Dance3.5倍アピール","Dance3.5배 어필"
"Dance4倍アピール/メンタルダメージ30％UP[3ターン]","Dance4배 어필/멘탈데미지30%UP[3턴]"
"Dance4倍アピール/興味33％UP[3ターン]","Dance4배 어필/흥미33%UP[3턴]"
"Visual上限+100","Visual상한+100"
"Visual上限+30","Visual상한+30"
"Visual上限+50","Visual상한+50"
"Visual0.7倍アピール[PERFECTなら3.5倍アピール] ","Visual0.7배 어필[PERFECT이면3.5배 어필]"
"Visual2倍アピール/興味20％DOWN[1ターン]","Visual2배 어필/흥미20%DOWN[1턴]"
"Visual2.5倍アピール","Visual2.5배 어필"
"Visual2.5倍アピール/アピールフェイズ開始時にメンタル4％回復[5ターン]","Visual2.5배 어필/어필페이즈개시시에멘탈4%회복[5턴]"
"Visual2.5倍アピール/メンタルダメージ20％CUT[2ターン]","Visual2.5배 어필/멘탈데미지20%CUT[2턴]"
"Visual2.5倍アピール/メンタル10％回復","Visual2.5배 어필/멘탈10%회복"
"Visual2.5倍アピール/メンタル15％回復","Visual2.5배 어필/멘탈15%회복"
"Visual2.5倍アピール/メンタル20％回復","Visual2.5배 어필/멘탈20%회복"
"Visual2.5倍アピール/Vocal＆Dance20％UP[3ターン]","Visual2.5배 어필/Vocal＆Dance20%UP[3턴]"
"Visual2.5倍アピール/Vocal35％UP[3ターン]","Visual2.5배 어필/Vocal35%UP[3턴]"
"Visual2.6倍アピール","Visual2.6배 어필"
"Visual2.8倍アピール","Visual2.8배 어필"
"Visual3倍アピール","Visual3배 어필"
"Visual3倍アピール/メンタル7％回復","Visual3배 어필/멘탈7%회복"
"Visual3倍アピール/Dance&Visual15％UP[3ターン]","Visual3배 어필/Dance&Visual15%UP[3턴]"
"Visual3倍アピール/Visual20％UP[3ターン]","Visual3배 어필/Visual20%UP[3턴]"
"Visual3.5倍アピール","Visual3.5배 어필"
"Visual4倍アピール/メンタルダメージ30％UP[3ターン]","Visual4배 어필/멘탈 데미지30%UP[3턴]"
"Visual4倍アピール/興味33％UP[3ターン]","Visual4배 어필/흥미33%UP[3턴]"
"Vocal上限＋100","Vocal상한＋100"
"Vocal上限＋25","Vocal상한＋25"
"Vocal上限＋50","Vocal상한＋50"
"Vocal＆Visual上限＋15","Vocal＆Visual상한＋15"
"Vocal＆Visual上限＋25","Vocal＆Visual상한＋25"
"Vocal＆Visual上限＋70","Vocal＆Visual상한＋70"
"Vocal＆Visual2倍アピール","Vocal＆Visual2배 어필"
"Vocal＆Visual2倍アピール/Vocal＆Visual20％UP[3ターン]","Vocal＆Visual2배 어필/Vocal＆Visual20%UP[3턴]"
"Vocal＆Visual2.1倍アピール","Vocal＆Visual2.1배 어필"
"Vocal＆Visual2.2倍アピール","Vocal＆Visual2.2배 어필"
"Vocal＆Visual2.3倍アピール","Vocal＆Visual2.3배 어필"
"Vocal0.7～3.5倍アピール[メンタルが多いほど効果UP]/興味30％DOWN[2ターン]","Vocal0.7~3.5배 어필[멘탈이 많을수록 효과UP]/흥미30%DOWN[2턴]"
"Vocal2倍アピール/ごく稀に現在の興味値に関わらず一気に満足させる","Vocal2배 어필/매우 드물게 현재의 흥미치에 관련되지 않고 단번에 만족시킨다"
"Vocal2.5倍アピール","Vocal2.5배 어필"
"Vocal2.5倍アピール/思い出ゲージ5％UP","Vocal2.5배 어필/추억게이지5%UP"
"Vocal2.5倍アピール/興味10％DOWN[1ターン]","Vocal2.5배 어필/흥미10%DOWN[1턴]"
"Vocal2.5倍アピール/興味20％DOWN[1ターン]","Vocal2.5배 어필/흥미20%DOWN[1턴]"
"Vocal2.5倍アピール/興味40％DOWN[1ターン]","Vocal2.5배 어필/흥미40%DOWN[1턴]"
"Vocal2.5倍アピール/Dance＆Visual20％UP[3ターン]","Vocal2.5배 어필/Dance＆Visual20%UP[3턴]"
"Vocal2.5倍アピール/Dance10％UP[2ターン]","Vocal2.5배 어필/Dance10%UP[2턴]"
"Vocal2.5倍アピール/Dance25％UP[2ターン]","Vocal2.5배 어필/Dance25%UP[2턴]"
"Vocal2.5倍アピール/Dance35％UP[3ターン]","Vocal2.5배 어필/Dance35%UP[3턴]"
"Vocal2.5倍アピール/Dance50％UP[2ターン]","Vocal2.5배 어필/Dance50%UP[2턴]"
"Vocal2.5倍アピール/Visual35％UP[3ターン]","Vocal2.5배 어필/Visual35%UP[3턴]"
"Vocal2.5倍アピール/Vocal＆Dance10％UP[5ターン]","Vocal2.5배 어필/Vocal＆Dance10%UP[5턴]"
"Vocal2.5倍アピール/Vocal20％UP[3ターン]","Vocal2.5배 어필/Vocal20%UP[3턴]"
"Vocal2.6倍アピール","Vocal2.6배 어필"
"Vocal2.8倍アピール","Vocal2.8배 어필"
"Vocal3倍アピール","Vocal3배 어필"
