ja,zh
"お～～～い！\nお～～～～い……！\n──返事しよるよ、世界が！","﻿어~~~이!\n﻿어~~~이……!\n─대답하고있디야, 세계가!"
"からん、ころん\n花火ですぐ掻き消えるこの音も\nなんだか無性に愛おしいよ","또각, 딸각\n불꽃으로 곧 사라지는 이 소리도\n왠지 모르게 사랑스러워져"
"わたしの歌、聴こえてる──？\n真乃と灯織と３人で、どこまで\nだって届けてみせるよ！","내 노래, 듣고 있어─?\n마노와 히오리와 셋이서, 어디까지\n라도 전해주겠어!"
"シャボン玉とあたしと……\nどっちがスゴいステージに行けるか勝負です！","비눗방울과 나와……\n어느 쪽이 멋진 스테이지에 갈 수 있을지 승부입니다!"
"一応聞いとこうか\n降参する気とかって、ある？","일단 물어볼까\n항복할 생각 있어?"
"吊籠よ……祝福なさい……\n小鳥は空を知るのだから……","새장이여……축복하세요……\n작은 새는 하늘을 아는 거니까……"
"奇跡みたいに愛しい日々を\nこれからも……！","기적같이 사랑스러운 나날을\n앞으로도……!"
"次に撃たれたい人は挙手！\nチョコアイドルが\n狙いにいっちゃいまーす！","다음에 총을 맞고 싶은 사람은 거수!\n초코 아이돌이\n노리러 가버립니다!"
"見ない顔ですねぇ……！","안본 얼굴이네요……!"
"鐘ば鳴ったら\n夜はいただき──！","종이 울리면\n밤은 받아간다─!"
"プロデューサーさんのおかげで、今の私がいます\n……最初の一歩を踏み出した時から、これまでずっと──\nずっと一緒にいてくださって、ありがとうございます……っ","프로듀서님 덕분에, 지금의 제가 있습니다\n……처음 한 걸음을 내디뎠을 때부터 지금까지 쭉─\n계속 함께 해주셔서 감사합니다……"
"さすがよ、プロデューサー\n私のことはなんでもお見通しなのね\nどうして……掛けてほしい言葉がわかるのかしら……","역시나, 프로듀서\n나에 대해선 뭐든지 꿰뚫어 보고 있네\n어떻게…… 해 주었으면 하는 말을 아는 걸까나……"
"プロデューサーと一緒だったらさ\n絶対ハンパないアイドルになれる！\nこれからもヨロシク！　プロデューサー！","프로듀서와 함께라면 말이야\n진짜로 끝내주는 아이돌이 될 수 있어!\n앞으로도 잘 부탁해! 프로듀서!"
"サインは私がここにいるって証ですー\nってことでプロデューサー、目、閉じてくださいー\nふふー、『ま　み　み』──……","싸인은 제가 여기 있다는 증거입니다-\n라는 것으로 프로듀서, 눈, 감으세요-\n후후-, 『마  미  미』─……"
"うちなんかがステージに立てるなんて\n人生何があるかわかんないね～！\nマジプロデューサーとの出会いに感謝ってカンジだわ～","﻿나 따위가 스테이지에 서있다니\n인생 어떻게 흐를지 모르겠네~!\n레알 프로듀서와의 만남에 감사하는 느낌이야~"
"この前友達とちょー長電話しちった～\nマジ盛り上がると止まんないんだよね～！\nプロデューサーともちょー長くなりそ～！","저번에 친구랑 꽤 오래 통화했었어~\n레알 분위기가 상승하면 멈출수가 없네~!\n프로듀서와도 꽤 -길어져~!"
"ついてこれてる？\n……大丈夫、みたいだね\nまだまだ終わらないから……！","따라 올수 있어?\n……괜찮아, 보고싶어\n아직 아직 끝나지 않았으니까……!"
"プロデューサーはいつも暑苦しいし、\nたくさん無茶振りもしてきますケドー……\nまぁ……それがないのはちょっと、退屈かもしれませんねー","프로듀서는 언제나 숨막힐 듯이 덥고,\n많이 당치않은 행동도 해 옵니다만……\n뭐……그런게 없는 건 조금, 지루할지도 모르겠네요─"
"甜花も、頑張る……！\nいっぱい頑張って、えと、まずは……え、えと、えっと……\n……頑張るの、お昼寝してから……","텐카도, 노력할께……! \n잔뜩 노력해서, 엣또, 우선은……에, 엣또, 엣또……\n……노력하는 거야, 낮잠 자고 나서……"
"……あんたも、嫌な時は嫌って言いなさいよ\nなんも言わないで、愛想つかすのだけは、だめ\n……ふゆ、言われないと、きっとわかんないから","﻿……너도, 싫을 때는 싫다고 말해\n아무 말도 하지 않고, 정나미가 떨어지는 것만은 안 돼\n……후유, 말하지 않으면, 분명 모르니까"
"……ん……んん……？\n……あ、ぷろりゅーさーさん……だあ……\n……にへへ……すう……すう……","……응……응응……?\n……프로류-니-임……다아……\n……니헤헤……스으……스으……"
"──いつからでも遅くないって\nアンタが言ったんだ","─언제부터라도 늦지 않았다고\n너가 말했다"
"ここまで連れてきてくれたの、\nプロデューサーなんだからね？","여기까지 데리고 와준 건, \n프로듀서니까?"
"アイドルのこと、もっともっと突き詰めたいっす！\nそれで、絶対に究極のアイドルになるっす！\nプロデューサーさん、これからもずっと支えてほしいっす！","아이돌의 일, 좀더 좀더 파고들고 싶슴다!\n그래서, 반드시 궁극의 아이돌이 되는검다!\n프로듀서님, 앞으로도 쭉 지지했으면 좋겠슴다!"
"プロデューサーさんが手をとってくださるから、\nただの、ひとりの女の子は、アイドルに──\n……ふふ、この魔法がずっと解けませんように","프로듀서님이 손을 잡아 주었기 때문에,\n 단순한, 한명의 여자애는, 아이돌이─\n……후후, 이 마법이 쭉 풀리지 않기를"
"プロデューサーさんに、肩たたき券をプレゼントします！\n──あたし、おうちでは、肩たたきのプロって呼ばれてるんです\nいつでも出げき準備万たんなので、どんどん使ってください！","프로듀서님에게, 어깨 안마권을 선물합니다!\n─저, 우리 집에서는, 어깨 안마의 프로로 불리고 있습니다\n언제라도 준비만만이니까, 자주 사용해 주세요!"
"プロデューサーさんのこと、たくさん頼りにさせてもらって\nます。でも、それだけじゃなくて……頼ってもらえたら\n嬉しいんです。……もう、お互いに遠慮はなしですよ？","프로듀서님을 많이 믿고 있습니다\n하지만, 그것뿐만은 아니고……의지해 주신다면\n정말 기쁠거에요.……이제, 서로 사양하기 없음이에요?"
"三峰たちのステージ、もっと\nもーっと広められる気がする！","미츠미네들의 스테이지, 좀 더\n좀-더 넓어질 것 같다!"
"手塩にかけたアイドルの成長、\nちゃんと見ててよねー","손수 애쓴 아이돌의 성장,\n제대로 보고 있어―"
"甘奈、アイドルの活動ノートをつけてるんだけどね\n見返してみたら、すっごく心が温かくなって\nまた頑張らなきゃって気持ちになったんだ","아마나, 아이돌의 활동 노트를 적고 있지만\n되돌아보면, 굉장히 마음이 따뜻해져서\n또 열심히 해야겠다는 생각이 들었어"
"いつまでも背を向けてちゃ、見えないことが\nあるんだよな……。アタシ、アイドルになってから\n色んなことに気付けた気がするよ","언제까지나 등을 돌리면, 보이지 않는 것이\n있는 것이구나…….나, 아이돌이 되고 나서야\n여러가지를 알게된 것 같아"
"あたしが夏葉さんの歳になっても、プロデューサーさんの\n歳になっても、社長さんの歳になっても──……絶対！\nプロデューサーさんと一緒に、戦い続けてるんだと思います！","﻿내가 나츠하씨의 나이가 되어도, 프로듀서님의 \n나이가 되어도, 사장님의 나이가 되어도─……절대! \n프로듀서님과 함께, 계속 싸울거라고 생각합니다!"
"お花さんたちと……わたし……\nそれから今は……プロデューサーさんも……\n全部の季節が……優しいです……","꽃씨들과…… 나……\n 그리고 지금은…… 프로듀서님도……\n모든 계절이……상냥합니다……"
"この間、灯織ちゃんとめぐるちゃんとも水鉄砲で遊んだんです……ふふっ","얼마전에, 히오리쨩과 메구루쨩과 물총으로 놀았답니다…… 후훗"
"ご一緒に……参りましょう……\n木の芽風に……\n誘われるまま……","함께……가요……\n나무싹의 바람으로……\n유혹되어……"
"それでこそよ！　プロデューサー\n隣で、ちゃんと見守っていてちょうだい！\n私、期待に応えるのは得意なのよ","그래서야말야! 프로듀서\n근처에서, 잘 지켜봐줘!\n나, 기대에 부응하는건 자신있어"
"ひとりでも多くのファンに笑顔になってもらいたいんです\nたくさんの笑顔をもらった今の私なら、できるって──……\n不安でも、信じています。……一緒にここまで来たんですから","한사람이라도 많은 팬의 미소가 되고 싶습니다\n많은 미소를 받은 지금의 저라면, 할 수 있다고─……\n불안해도, 믿고 있습니다. ……함께 여기까지 왔으니까요"
"プロデューサーさんがいるからいっぱい頑張れるし、\nどんなにピンチな時でも、大丈夫だって思えます！\nだから、ずっと一緒にいてください、プロデューサーさん！","프로듀서님이 있기 때문에 많이 힘낼 수 있고,\n아무리 위급한 때에도 괜찮을거라고 생각합니다! \n그러니까, 쭉 함께 있어 주세요, 프로듀서님!"
"プロデューサー！　今度、カラオケどう？\n友達とはよく行くんだけどさ～、\nプロデューサーとも一緒に行ってみたいんだよね～","프로듀서! 이번에 가라오케 어때? \n친구와는 자주 가지만~,\n프로듀서와도 함께 가 보고 싶네~"
"失くすくらいなら、手にしなきゃいいって思ってたけど……\n大事なもの、ちゃんと守れるくらい──\nアタシが強くなればいいだけなんだよな","잃어 버릴 거라면, 손에 넣지 않으면 좋다고 생각했지만……\n소중한 것, 제대로 지킬 수 있을 정도로─\n내가 강해지면 될 뿐이야"
"早寝……寝坊……二度寝……三度寝……\nあと……お昼寝……\n……にへへ、みんな……好き……","일찍 자기…… 잠꾸러기…… 두번자기……세번자기……\n그리고…… 낮잠……\n……니헤헤, 모두……좋아……"
"私を信じて見守ってくれるところも──そのくせここぞって時は、\n三峰の言うことなんか聞かずに踏み込んできちゃうところも──\n……感謝してるのって言ったら、信じてくれる？","나를 믿고 지켜봐주는 것도─ 그렇면서 정작 중요할 때는,\n미츠미네가 말하는 거 신경 쓰지 않고 뛰어 드는 점도\n……고맙다고 말하면, 믿어 줄래?"
"……えへへ。プロデューサーさんは、\nいつも私と正面から向き合ってくれますよね\nそういうのは……とっても。とっても、安心しちゃいます","﻿……에헤헤. 프로듀서님은,\n항상 저와 정면으로 마주봐 주네요\n그런 점은……정말. 정말, 안심됩니다"
"──あははっ！\nどーだ！\nアタシから目、離すなよ！","─아하핫!\n어때!\n나한테서 눈, 떼지마!"
"あなたの歌が\n聴きたい……！","당신의 노래를\n듣고 싶다……!"
"この光……届いてる？\nまだなら……絶対に\n届けてみせるから……！","이 빛……닿고 있어?\n아직이라면……반드시\n보여 줄테니까……!"
"ふふ……\nお花さんたちは……話しません……\nそんな気が……するだけです……","후후……\n꽃씨들은……말하지 않습니다……\n그런 생각이……들 뿐입니다……"
"もっと魅せてよ\nいけるっしょ！","좀 더 매력있게 해줘\n할수 있지!!"
"よく、思ってることが顔に出やすいって言われちゃうんです\nプロデューサーさんは、わからないですか……？　今は……\nええと、『そんなにじっと見ないでください』です～……！","자주, 생각하고 있는 것이 얼굴에 쉽게 나온다고 말해집니다\n프로듀서님은, 모르세요……? 지금은……\n에, 『그렇게 빤히 보지 마세요』입니다~……!"
"クレープの後は\nプロデューサーに\n噛みついちゃおっかな～♪","크레페 다음은\n프로듀서를\n깨물어 버릴까~♪"
"プロデューサーさん、お疲れですよね……\nもう少し休んでいても大丈夫ですよ\n私が目覚まし係になりますから。……ね？","프로듀서님, 수고하시네요……\n조금 더 쉬셔도 괜찮아요\n제가 자명종이 될테니까요……네?"
"プロデューサーさんが楽しいと思うことってなんすか！\n趣味はあるんすか？　好きな食べ物はなんすか？\nプロデューサーさんのこと、もっと知りたいっす！","프로듀서님이 즐겁다고 생각하는건 무엇임까!\n취미는 있슴까? 좋아하는 음식은 무엇임까?\n프로듀서님의 일, 좀 더 알고 싶슴다!"
"プロデューサーさんは、いつも背中を押してくれます\nまだ……色々不安に思うことがあっても\n私、プロデューサーさんを信じて頑張りますっ","프로듀서님은, 항상 등을 떠밀어 줍니다\n 아직……여러가지 불안하게 생각하는 것이 있어도\n저, 프로듀서님을 믿고 열심히 하겠습니다"
"三峰のこと、実はいい子、とか思ってるんだったら──\n三峰的には作戦成功……かな？　だって、そう見えるように\nっていうシタゴコロなんだから。……なんて、ねぇ？","미츠미네에 대해서, 실은 좋은 아이,라고 생각하고 있다면─\n미츠미네적으로 작전 성공……일까? 왜냐면, 그렇게 보이도록\n라는 속셈인 것이니까. ……랄까?"
"夢みたいなおっきなステージ\nいつか灯織ちゃんとめぐるちゃんと一緒に出れるでしょうか？","꿈같은 멋진 스테이지\n언젠가 히오리쨩과 메구루쨩과 함께 나올 수 있을까요?"
"孤独を吹き飛ばす炎──\n聴こえますか？","고독을 날려버리는 불길─\n들리시나요?"
"待機時間ってじっとしてなくちゃいけないから苦手っす\nだから、もっと一緒にいてくれないっすか？\nプロデューサーさんと話してると、時間が早く経つっす！","대기 시간은 가만히 있지 않으면 안 되기 때문에 곤란함다\n그러니까, 좀 더 함께 있어 주지 않겠슴까?\n프로듀서님과 이야기하고 있으면, 시간이 빨리 지나가는검다!"
"素敵だわ……！\n期待しちゃう！","멋져……! \n기대되네요!"
きらきら眩しい願いも、ふたりと一緒なら叶えていけるって思います……っ,"반짝반짝 빛나는 소원도, 둘이서 함께라면 이룰 수 있다고 생각합니다……아"
今日のレッスンで、動きが良くなったってほめられました！\nいっぱいがんばったので、プロデューサーさんにも\nほめてもらえたら、もっともっとうれしいです！,"오늘 레슨에서, 움직임이 좋아졌다고 칭찬받았어요!\n정말 열심히 노력했으니, 프로듀서님한테도\n칭찬받으면, 더더욱 기쁠거 같아요!"
積まれたお団子って、こう、\nなんていうか……！　ロマン\nがあると思いませんか……！,"쌓아놓은 경단이란건, 그\n뭐라할까... ! \n로망이라고 생각하지 않나요...!"
プロデューサーって頭良さそうだよね～\n仕事、ちょー難しそうじゃん？\nうちだったら絶対無理だもんな～！,"﻿프로듀서는 머리가 좋아 보이네~\n일, 초-어려울 것 같잖아?\n나 같으면 절대 무리라구~!"
今日の桑山千雪も、\nきっと見守っていてくださいね,"오늘의 쿠와야마 치유키도,\n반드시 지켜봐주세요"
あの頃と変わったものがあって\nきっと、変わらないものもある\n花火の輝きが変わらないように,"그때와 달라진 것이 있어도\n분명, 변하지 않는 것도 있다\n불꽃의 빛이 변하지 않도록"
お疲れ様、プロデューサー\n一緒に紅茶でもどうかしら？　ニルギリ、ウバ、\nキーマン……どれもリラックス効果があるものよ！,"수고했어, 프로듀서\n함께 홍차라도 어떨까? 닐기리, 우바,\n기홍차……모두 릴렉스 효과가 있는 거야!"
ここまで羽ばたけたのは、プロデューサーさんのおかげですっ,"여기까지 날개를 펼칠 수 있던 것은, 프로듀서님 덕분이에요"
これからも、甜花と、なーちゃんと、千雪さんで……満開の、アルストロメリア……！,"앞으로도, 텐카와 나쨩과 치유키씨로…… 만개한, 알스트로메리아……!"
今まで、上手くできないことばっかで、後悔もいっぱいした\nでも、だからこそあんたに会えたんなら──\n……ま、悪くないかなって,"지금까지, 능숙하지 않은 말들로, 후회도 많이 했다\n하지만, 그래서 너를 만날 수 있던 거라면─\n……뭐, 나쁘지 않을까 하고"
私たちの歌で、たくさんの輝きを届けたいですっ,"우리의 노래로, 많은 빛을 보내고 싶어요"
私の歌が、会場の外まで\n届いてくれると嬉しいですっ,"제 노래가, 회장 밖까지\n전해졌으면 기뻐요"
聞いて～！\n昨日、家族がうちの出てた番組見ててさ～\n嬉しかったんだけど、ちょー恥ずかったわ～,"들어봐~!\n어제, 가족들이 내가 나왔던 방송 보았어~\n기뻤지만, -조금 창피했어~"
雪蛍……\nゆきつ……もどりつ……\n君のうえ……,설충……\n도착한다…… 돌아온다……\n당신의 위에……
『好き』だと言えるものは……あまり、ありませんでした\n……そう言えるものが増えたらいいなと思っています\nみんなが大事にしてくれる……私のことも、いつか──……,"﻿『좋아해』라고 말할 수 있는 것은……별로, 없었습니다\n……그렇게 말할 수 있는 것이 늘었으면 좋겠다고 생각하고 있습니다\n모두가 소중히 해 주는……나에 대해서도, 언젠가─……"
あうう……\n甜花が足、引っ張ったから……,"아우우……\n텐카가 발, 잡아당겼으니까……"
うちとカラオケいかな～い？,나랑 가라오케 갈까?
この間、『もしアイドルになってなかったら？』って\n聞かれてね、わたし、それは嫌だなぁって言っちゃったんだ\nだって、いつでもイルミネーションスターズでいたいから！,"이전에, 『만약 아이돌이 되지 않았더라면?』이라고\n물어봐서, 나, 그건 싫다 고 말해 버렸지 뭐야\n왜냐면, 언제까지라도 일루미네이션 스타즈에 있고 싶으니까!"
甜花ちゃん、千雪さん、プロデューサーさん……\nみんなと一緒にいる何気ない時間が甘奈は大好き\nこれからもずーっと、大切にしていきたいな,"텐카쨩, 치유키씨, 프로듀서님……\n모두와 함께 있는 아무렇지도 않은 시간이 아마나는 너무 좋아\n앞으로도 계속 소중히 간직하고 싶어"
忘れ物は……ないよね！\nショッピングに集中したいから\n心配事はなくさないと……,잊은 물건은......없겠지?!\n쇼핑에 집중하고 싶으니까\n걱정은 없애야지....
『物事の価値は斜めから\n測るべし』\nby 田中摩美々,『사물의 가치는 삐딱하게\n측정할것』\nby 타나카 마미미
そうだね……\nもう少し、何か……,"그렇네……\n좀 더, 뭔가가……"
春になったら……会えます……\nコデマリさんのお花……\nプロデューサーさんも……一緒に……,봄이 되면……만날 수 있습니다……\n공조팝나무씨의 꽃……\n프로듀서님도……함께……
落ち込んでなんていられません！\n苦難はチャンス！　なんです！,침울해 있을 수 없어요! \n고난은 찬스! 입니다!
あー……くそ\nもっとできることがねーか、探してみるよ,"﻿아─……제길\n좀 더 할 수 있는 게 없나, 찾아볼게"
うぉっ、とー……！？\nあちゃー……これは気合い入れ直さなきゃだ,"우왓, 에―……!? \n아차―……이건 정신 차려야지"
えー\nもう十分頑張ったつもりなんですケドー………,음―\n이제 충분히 노력했다고 생각합니다만………
まみみがここまで来れたのは\nプロデューサーのおかげです,마미미가 여기까지 올 수 있던 것은\n프로듀서 덕분입니다
もっと驚く顔が見たいんで、更\nにすごいアイドルになりますー,"좀 더 놀라는 얼굴을 보고 싶어서, \n더욱더 굉장한 아이돌이 되겠습니다―"
プロデューサーさんも、\nビーチグラスでなにか作りませんか！,"프로듀서님도,\n비치글라스에서 뭔가 만들지 않겠습니까!"
プロデューサーのせいで大勢に\n見られるようになりましたねー,프로듀서 덕에 많은 사람들이\n볼 수 있게 되었어요―
何度だって一緒に春を待ちたいと思える人ができたんだ\n……プロデューサーと、プロデューサーのおかげで会えた\nみんなのことだよ,"몇번이나 함께 봄을 기다리고 싶다고 생각되는 사람이 생겼어\n……프로듀서와, 프로듀서 덕분에 만날 수 있었던\n모두들 말야"
幸せ──……\nプロデューサーさんの\n優しさのおかげです,행복─……\n프로듀서님의\n상냥함 덕분입니다
……あれ。また見つかっちゃいましたね……！\nこれはみんなには内緒のチョコなので──\nプロデューサーさん、共犯しましょう！　どうぞです！,"﻿……어라. 또 발견되어 버렸네요……! \n이건 모두에게 비밀인 초콜렛인 것이니까─\n프로듀서님, 공범해요! 어서요!"
……もうちょっと、頑張ればよかったんですかねー,"…… 좀 더, 노력하면 좋았을까요─"
お布団の外には……\n何があるんだろう……,이불 밖에는……\n무엇이 있을까……
その調子よ！　プロデューサー\n次のレッスンまでは少し時間があるみたいだし……\n一緒に走りに行きましょう！,그 상태야! 프로듀서\n다음 레슨까지는 조금 시간이 있는 것 같으니까……\n함께 달리기로 해요!
ふぇ……！\n仕方なかけん……100倍やらんばね！,후에……! \n어쩔 수 없당께……100배로 노력하장!
まだまだ私と、夏しましょう！\nチョコが溶けちゃうくらい\n盛り上がって～～！,아직 저와 여름을 잘보내보죠! \n초코가 녹아 버릴 정도로\n분위기를 올려서~!
もっと頑張らないと……ダメだ……！,좀 더 노력하지 않으면……안돼……!
アンティーカの物語を\n見せてあげましょうかねー,안티카의 이야기를\n보여 드릴까요?―
スウィングしなきゃ……\n意味が……ないから……──,스윙 하지 않으면……\n의미가…… 없으니까……─
ツナ缶さんと……コーンさんと……コンビーフさんと……輪になって……,참치캔씨와…… 콘씨와…… 콘비프씨와……원을 이루어……
ファンのみんなに、気持ち……届いたねっ……！,"팬 모두에게, 마음……닿았다……!"
プリンと……チョコプリン……\nあうう、選べない……\n……プロデューサーさん……どっちかしか……だめ？,"푸딩과…… 초콜렛 푸딩……\n아우우, 선택할 수 없다……\n……프로듀서님……어느 쪽인가 밖에……안돼?"
プロデューサーさんはどのお菓子にしますか？\nいっぱいありますよ！,프로듀서님은 어떤 과자로 하시겠습니까? \n많이 있어요!
三峰の好きなもの──よりもさ、三峰としては、\nＰたんの好きなものの話の方が気になっちゃうなーなんて！\nふふ、誤魔化してはないよぉ。話したいのは本当だもん,"미츠미네가 좋아하는 것─보다 말이야, 미츠미네로서는,\nP땅이 좋아하는 거에 대해서가 신경쓰일지도─헤헷!\n후후, 얼버무리려고 그러는게 아냐. 이야기하고 싶은 건 사실인걸"
割と、髪下ろすと印象変わるねって言われるんですが……\nどうでしょうか？　えへへ……,"의외로, 머리를 내리면 인상이 바뀐다고 하는데……\n어떨까요? 에헤헤……"
十三夜の……月よ……\n叶うなら……\n叶うなら……──,十三夜의……달맞이가……\n이뤄진다면……\n이뤄진다면……─
嬉しいわ！\nでも……もっともっと上を目指していくわ！,기쁘네! \n하지만……더욱더 위를 목표로 해 가요!
甘奈の写真、ツイスタにアップしたいんだ～\nプロデューサーさんはどれがいいと思う？\n一緒に選んでくれたら嬉しいなっ☆,"아마나의 사진, 트위스터에 올리고 싶어~\n프로듀서님은 어떤게 좋다고 생각해? \n함께 골라주면 기쁠거야☆"
私のチョコはいつだってとって\nおきです！　よろしくお味見い\nかがでしょうか！,제 초콜렛은 언제라도\n가능합니다! 아무쪼록 맛있게\n맛봐주세요!
絶対に諦めないわ！\n練習あるのみよ……！,절대로 단념하지 않아요!\n연습 할 뿐이네요……!
──私たちの世界へようこそ\n歓迎するよ、お客人,"﻿─우리들의 세계에 어서 오십시오\n환영해요, 손님"
