text,trans,type
使用時プロデュースアイドルのテンションが小アップします(プロデュース中2回まで使用可能),사용시 프로듀스 아이돌의 텐션이 小 올라갑니다（프로듀스중 2회까지 사용 가능）,
テンションアロマ(2個入り),텐션 아로마（2개들음）,
テンションアロマ\n(2個入り),텐션 아로마\n（2개들음）,
使用時プロデュースアイドルのテンションが中アップします(プロデュース中2回まで使用可能),사용시 프로듀스 아이돌의 텐션이 中 올라갑니다（프로듀스중 2회까지 사용 가능）,
トラブル守り,트러블 방지,
プロデュース中の失敗＆大失敗で発生するデメリットを1回無効にします,프로듀스중의 실패＆대실패로 발생하는 디메리트를 1회 무효로 합니다,
秘密のメモ帳,비밀의 메모장,
プロデュース中に発生するコミュの選択後の結果を見えるようにします,프로듀스중에 발생하는 커뮤의 선택 결과를 보이도록 합니다,
約束のコロン,약속의 오드콜로뉴,
プロデュース中の約束発生率を小アップします(効果量は約束発生毎に減少し4回で効果がなくなる),프로듀스중의 약속 발생율이 소 올라갑니다(효과량은 약속 발생마다 감소해 4회에 효과가 없어진다),
アルバムの鍵,앨범의 열쇠,
イベントコミュを解放できるアイテムです,이벤트커뮤를 해방할 수 있는 아이템입니다,
アイドルコミュの鍵,아이돌 커뮤의 열쇠,
アイドルコミュを解放できるアイテムです,아이돌 커뮤를 해방할 수 있는 아이템입니다,
ボーカル基礎知識本,보컬 기초지식책,
プロデュース開始時にVocal＋30します,프로듀스 시작시에 Vocal＋30합니다,
始まりのメッセージカード,시작의 메세지 카드,
プロデュース開始時に親愛度＋5します,프로듀스 시작시에 친애도＋5합니다,
ダンス基礎知識本,댄스 기초지식책,
プロデュース開始時にDance＋30します,프로듀스 시작시에 Dance＋30합니다,
モーニングコミュパン,모닝커뮤빵,
プロデュース中、シーズン１に限り朝コミュ発生率を小アップします,프로듀스중、시즌 1에 한정해 아침 커뮤 발생율이 小올라갑니다,
ビジュアル基礎知識本,비주얼 기초지식책,
プロデュース開始時にVisual＋30します,프로듀스 시작시에 Visual＋30합니다,
初夏の晴れやか記念 特別パッケージ,초여름의 쾌청 기념 특별 패키지,
「初夏の晴れやか記念10連ガシャチケット×1」「初夏の晴れやか記念P-SRアイドル確定ガシャチケット×1」がついたお得なパッケージです,「초여름의 쾌청 기념 10연가챠 티켓×1」 「초여름의 쾌청 기념 P-SR아이돌 확정 가챠 티켓×1」이 붙은 이득의 패키지입니다,
スマートフォンアプリ版＆PCブラウザ版\nリリース記念パッケージ,스마트폰 어플판＆PC브라우저판\n릴리즈 기념 패키지,
「スマホPC記念10連ガシャチケット×1」「スマホPC記念ユニット別SR以上確定ガシャチケット×2」「ゴールドトレーニングチケット×5」「秘密のメモ帳×20」がパッケージとなったお得な期間限定のセットです,「스마트폰 PC기념 10연가챠 티켓×1」 「스마트폰 PC기념 유닛별 SR이상 확정 가챠 티켓×2」 「골드 트레이닝 티켓×5」 「비밀의 메모장×20」이 패키지가 된 이득의 기간 한정세트입니다,
初心者応援パッケージ Vol.5,초심자 응원 패키지 Vol. 5,
「初心者応援10連ガシャチケットVol.5」1枚におまけとして「初心者応援SSR確定ガシャチケットVol.5」が1枚ついてくるお得なセットです,,
育成応援パッケージ Vol.14,,
「育成応援10連ガシャチケット Vol.14」1枚におまけとして「ゴールドトレーニングチケット」「シルバートレーニングチケット」「ブロンズトレーニングチケット」が各5枚ついてくるお得な期間限定のセットです,,
応援バラエティセットプレミアム,응원 버라이어티 세트 프리미엄,
「約束のパルファム×3」「フェスエントリーチケット5×2」「ヒーリングフルーツタルト(3個入り)×2」「流行雑誌×5」がパッケージとなったお得な期間限定のセットです,,
応援バラエティセットスタンダード,응원 버라이어티 세트 스탠다드,
「約束のパルファム×2」「フェスエントリーチケット5×1」「ヒーリングフルーツタルト(2個入り)×5」「流行雑誌×4」がパッケージとなったお得な期間限定のセットです,,
応援バラエティセットライト,응원 버라이어티 세트 라이트,
「約束のトワレ×3」「フェスエントリーチケット×5」「ヒーリングフルーツタルト(2個入り)×3」「流行雑誌×2」がパッケージとなったお得な期間限定のセットです,,
リカバリーソーダMAX,리커버리 소다MAX,
スタミナが最大量の同量回復します,스태미너가 최대량까지 회복합니다,
フェスエントリーチケット5,페스엔트리티켓 5,
フェス参加権が5回復します,페스 참가권이 5 회복합니다,
SR以上確定ガシャチケット,SR이상 확정 가챠 티켓,
SR以上確定ガシャが引けるチケットです,SR이상 확정 가챠를 시행하는 티켓입니다,
SSR特訓はづきさん（プロデュース）,SSR특훈 하즈키씨(프로듀스),
SSRのプロデュースアイドルを特訓します[お1人様1つまで],SSR 프로듀스 아이돌을 특훈합니다 [1인당 1개까지],
SSR特訓はづきさん（サポート）,SSR특훈 하즈키씨(서포트),
SSRのサポートアイドルを特訓します[お1人様1つまで],SSR 서포트 아이돌을 특훈합니다[1인당 1개까지],
SR特訓はづきさん（プロデュース）,SR특훈 하즈키씨(프로듀스),
SRのプロデュースアイドルを特訓します[お1人様3つまで],SR 프로듀스 아이돌을 특훈합니다[1인당 3개까지],
SR特訓はづきさん（サポート）,SR특훈 하즈키씨(서포트),
SRのサポートアイドルを特訓します[お1人様3つまで],SR 서포트 아이돌을 특훈합니다[1인당 3개까지],
SSR特訓はづきさん\n（プロデュース）,SSR특훈 하즈키씨\n(프로듀스),
SSR特訓はづきさん\n（サポート）,SSR특훈 하즈키씨\n(서포트),
SR特訓はづきさん\n（プロデュース）,SR특훈 하즈키씨\n(프로듀스),
SR特訓はづきさん\n（サポート）,SR특훈 하즈키씨\n(서포트),
フェス参加権が1回復します,페스 참가권이 1회 생깁니다,
283プロのキーホルダー,283프로의 키홀더,
プロデュース開始時にユニットに編成している全サポートアイドルの絆が小アップします,프로듀스 시작시에 유닛에 편성된 전서포트 아이돌의 인연이 小 올라갑니다,
283プロのタオル,283프로의 타올,
プロデュース開始時にユニットに編成している全サポートアイドルの絆が中アップします,프로듀스 시작시에 유닛에 편성된 전서포트 아이돌의 인연이 中 올라갑니다,
283プロのTシャツ,283pro의 티셔츠,
プロデュース開始時にユニットに編成している全サポートアイドルの絆が大アップします,프로듀스 시작시에 유닛에 편성된 전서포트 아이돌의 인연이 大 올라갑니다,
ネココのぬいぐるみ,네코코의 봉제인형,
トモモのぬいぐるみ,토모모의 봉제인형,
かっちゃんのぬいぐるみ,캇쨩의 봉제인형,
1stアニバーサリーケーキ,1st 애니버셔리 케이크,
プロデュース開始時にイルミネーションスターズに所属しているサポートアイドルの絆が小アップします,프로듀스 시작시에 일루미네이션 스타즈에 소속해 있는 서포트 아이돌의 인연이 小 올라갑니다,
イルミネーションスターズのTシャツ,일루미네이션 스타즈의 티셔츠,
プロデュース開始時にイルミネーションスターズに所属しているサポートアイドルの絆が大アップします,프로듀스 시작시에 일루미네이션 스타즈에 소속해 있는 서포트 아이돌의 인연이 大 올라갑니다,
プロデュース開始時にアンティーカに所属しているサポートアイドルの絆が小アップします,프로듀스 시작시에 안티카에 소속해 있는 서포트 아이돌의 인연이 小 올라갑니다,
アンティーカのTシャツ,안티카의 티셔츠,
プロデュース開始時にアンティーカに所属しているサポートアイドルの絆が大アップします,프로듀스 시작시에 안티카에 소속해 있는 서포트 아이돌의 인연이 大 올라갑니다,
プロデュース開始時に放課後クライマックスガールズに所属しているサポートアイドルの絆が小アップします,프로듀스 시작시에 방과후 클라이맥스걸즈에 소속해 있는 서포트 아이돌의 인연이 小 올라갑니다,
放課後クライマックスガールズのTシャツ,방과후 클라이맥스걸즈의 티셔츠,
プロデュース開始時に放課後クライマックスガールズに所属しているサポートアイドルの絆が大アップします,프로듀스 시작시에 방과후 클라이맥스걸즈에 소속해 있는 서포트 아이돌의 인연이 大 올라갑니다,
プロデュース開始時にアルストロメリアに所属しているサポートアイドルの絆が小アップします,프로듀스 시작시에 알스트로메리아에 소속해 있는 서포트 아이돌의 인연이 小 올라갑니다,
アルストロメリアのTシャツ,알스트로메리아의 티셔츠,
プロデュース開始時にアルストロメリアに所属しているサポートアイドルの絆が大アップします,프로듀스 시작시에 알스트로메리아에 소속해 있는 서포트 아이돌의 인연이 大 올라갑니다,
ストレイライトのTシャツ,스트레이라이트의 티셔츠,
プロデュース開始時にストレイライトに所属しているサポートアイドルの絆が大アップします,프로듀스 시작시에 스트레이라이트에 소속해 있는 서포트 아이돌의 인연이 大 올라갑니다,
プロデュース開始時にストレイライトに所属しているサポートアイドルの絆が小アップします,프로듀스 시작시에 스트레이라이트에 소속해 있는 서포트 아이돌의 인연이 小 올라갑니다,
ヒーリングタルト,힐링 과일 파이,
使用時プロデュースアイドルの体力が小回復します,사용시 프로듀스 아이돌의 체력이 小 회복합니다,
ヒーリングタルト(3個入り),힐링 과일 파이（3개들음）,
ヒーリングタルト\n(3個入り),힐링 과일 파이\n（3개들음）,
使用時プロデュースアイドルの体力が小回復します(プロデュース中3回まで使用可能),사용시 프로듀스 아이돌의 체력이 小 회복합니다（프로듀스중 3회까지 사용 가능）,
ヒーリングフルーツタルト,힐링 과일 타르트,
使用時プロデュースアイドルの体力が中回復します,사용시 프로듀스 아이돌의 체력이 中 회복합니다,
高級ヒーリングフルーツタルト,고급힐링 과일 타르트,
使用時プロデュースアイドルの体力が大回復します,사용시 프로듀스 아이돌의 체력이 大 회복합니다,
高級ヒーリングフルーツタルト(2個入り),고급힐링 과일 타르트（2개들음）,
使用時プロデュースアイドルの体力が大回復します(プロデュース中2回まで使用可能),사용시 프로듀스 아이돌의 체력이 大 회복합니다（프로듀스중 2회까지 사용 가능）,
プチテンションアロマ,푸치 텐션 아로마,
使用時プロデュースアイドルのテンションが小アップします,사용시 프로듀스 아이돌의 텐션이 小 올라갑니다,
テンションアロマ,텐션 아로마,
使用時プロデュースアイドルのテンションが中アップします,사용시 프로듀스 아이돌의 텐션이 中 올라갑니다,
トラブル守り(2個入り),트러블 방지（2개들음）,
トラブル守り(3個入り),트러블 방지（3개들음）,
プロデュース中の失敗＆大失敗で発生するデメリットを2回無効にします,프로듀스중의 실패＆대실패로 발생하는 디메리트를 2회 무효로 합니다,
予定変更付箋(3個入り),예정 변경 포스트잇（3개들음）,
使用時サポートアイドルの配置をランダムで変更します(プロデュース中3回まで使用可能),사용시 서포트 아이돌의 배치를 랜덤으로 변경합니다（프로듀스중 3회까지 사용 가능）,
約束のパルファム,약속의 퍼퓸,
プロデュース中の約束発生率を大アップします(効果量は約束発生毎に減少し4回で効果がなくなる),프로듀스중의 약속 발생율이 大 올라갑니다(효과량은 약속 발생마다 감소해 4회에 효과가 없어진다),
ボーカル応用知識本,보컬 응용 지식책,
プロデュース開始時にVocal＋60します,프로듀스 시작시에 Vocal+60,
ダンス応用知識本,댄스 응용 지식책,
プロデュース開始時にDance＋60します,프로듀스 시작시에 Dance+60,
ビジュアル応用知識本,비쥬얼 응용 지식책,
プロデュース開始時にVisual＋60します,프로듀스 시작시에 Visual+60,
メンタル基礎知識本,멘탈 기초 지식책,
プロデュース開始時にメンタル＋30します,프로듀스 시작시에 Mental+30,
スキル基礎知識本,스킬 기초 지식책,
プロデュース開始時にSP＋30します,프로듀스 시작시에 SP+30,
283メモリーアルバム,283 메모리 앨범,
プロデュース開始時に親愛度＋10します,프로듀스 시작시에 친애도+10,
こんがりモーニングコミュパン,노르스름한 모닝커뮤빵,
プロデュース中、シーズン１に限り朝コミュ発生率を中アップします,프로듀스중、시즌 1에 한정해 아침 커뮤 발생율을 中 올립니다,
スペシャルモーニングコミュパン,特级早安对话面包,
プロデュース中、シーズン１に限り朝コミュ発生率を大アップします,프로듀스중、시즌 1에 한정해 아침 커뮤 발생율을 大 올립니다,
銅の羽根,동 날개,
プロデュース開始時にユニットに編成している全サポートアイドルの絆が極小アップします,프로듀스 시작시에 유닛에 편성하고 있는 전서포트 아이돌의 인연이 极小 올라갑니다,
プロデュース開始時に編成している全サポートアイドルの絆が極小アップします,프로듀스 시작시에 편성하고 있는 전서포트 아이돌의 인연이 极小 올라갑니다,
銀の羽根,은 날개,
プロデュース中の約束発生率を極小アップします(効果量は約束発生毎に減少し4回で効果がなくなる),프로듀스중의 약속 발생율이 极小 올라갑니다(효과량은 약속 발생마다 감소해 4회에 효과가 없어진다),
金の羽根,금 날개,
プロデュース開始時に編成している全サポートアイドルの絆が極小アップし、プロデュース中の約束発生率を極小アップします(効果量は約束発生毎に減少し4回で効果がなくなる),프로듀스 시작시에 편성하고 있는 전서포트 아이돌의 인연이 극소 올라가、프로듀스중의 약속 발생율이 극소 올라갑니다(효과량은 약속 발생마다 감소해 4회에 효과가 없어진다),
プロデュース開始時にユニットに編成している全サポートアイドルの絆が極小アップし、プロデュース中の約束発生率を極小アップします(効果量は約束発生毎に減少し4回で効果がなくなる),프로듀스 시작시에 유닛에 편성하고 있는 전서포트 아이돌의 인연이 극소 올라가、프로듀스중의 약속 발생율이 극소 올라갑니다(효과량은 약속 발생마다 감소해 4회에 효과가 없어진다),
プラチナの羽根,플래티넘 날개,
プロデュース開始時に編成している全サポートアイドルの絆が小アップし、プロデュース中の約束発生率を小アップします(効果量は約束発生毎に減少し4回で効果がなくなる),프로듀스 시작시에 편성하고 있는 전서포트 아이돌의 인연이 小 올라가、프로듀스중의 약속 발생율이 小 올라갑니다(효과량은 약속 발생마다 감소해 4회에 효과가 없어진다),
プロデュース開始時にユニットに編成している全サポートアイドルの絆が小アップし、プロデュース中の約束発生率を小アップします(効果量は約束発生毎に減少し4回で効果がなくなる),프로듀스 시작시에 유닛에 편성하고 있는 전서포트 아이돌의 인연이 小 올라가、프로듀스중의 약속 발생율이 小 올라갑니다(효과량은 약속 발생마다 감소해 4회에 효과가 없어진다),
虹の羽根,무지개 날개,
プロデュース開始時に編成している全サポートアイドルの絆が中アップし、プロデュース中の約束発生率を中アップします(効果量は約束発生毎に減少し4回で効果がなくなる),프로듀스 시작시에 편성하고 있는 전서포트 아이돌의 인연이 中 올라가、프로듀스중의 약속 발생율이 中 올라갑니다(효과량은 약속 발생마다 감소해 4회에 효과가 없어진다),
プロデュース開始時にユニットに編成している全サポートアイドルの絆が中アップし、プロデュース中の約束発生率を中アップします(効果量は約束発生毎に減少し4回で効果がなくなる),프로듀스 시작시에 유닛에 편성하고 있는 전서포트 아이돌의 인연이 中 올라가、프로듀스중의 약속 발생율이 中 올라갑니다(효과량은 약속 발생마다 감소해 4회에 효과가 없어진다),
お手製差し入れ,수제 반입,
2018SE@SONAL WINTERチケット,2018SE@SONAL WINTER티켓,
Exスキルスポイト,Ex스킬 스포이드,
Exスキルを外す事ができるアイテムです,Ex스킬을 제거할 수 있는 아이템입니다,
オーバーキャストモノクローム交換チケット,오버 캐스트 모노크롬 교환 티켓,
オーバーキャストモノクロームと交換できるチケットです,오버 캐스트 모노크롬과 교환할 수 있는 티켓입니다,
プチセレクションチケット,푸치 셀렉션 티켓,
集めるとチケット交換で特定のアイドルと交換できるチケットです,모으면 티켓 교환으로 특정의 아이돌과 교환할 수 있는 티켓입니다,
SRのプロデュースアイドルを特訓します,SR 프로듀스 아이돌을 특훈합니다,
SRのサポートアイドルを特訓します,SR 서포트 아이돌을 특훈합니다,
SSRのプロデュースアイドルを特訓します,SSR 프로듀스 아이돌을 특훈합니다,
SSRのサポートアイドルを特訓します,SSR 서포트 아이돌을 특훈합니다,
はづきさんシール,하즈키씨씰,
集めると特訓はづきさんと交換できるシールです,모으면 특훈 하즈키씨와 교환할 수 있는 씰입니다,
enzaマガジン応募キャンペーン10連ガシャチケット,,
enzaマガジン応募キャンペーン10連ガシャが引けるチケットです,,
Xmas10連ガシャチケット,,
Xmas10連ガシャが引けるチケットです,,
Xmasユニット別SSR確定ガシャチケット,,
Xmasユニット別SSR確定ガシャが引けるチケットです,,
育成応援10連ガシャチケットVol.9,,
育成応援10連ガシャVol.9が引けるチケットです,,
NewYearログインボーナス10連ガシャチケット,,
NewYear10連無料ガシャが引けるチケットです,,
ゆくくる10連ガシャチケット,,
ゆくくる10連ガシャが引けるチケットです,,
ゆくくるユニット別SR以上確定ガシャチケット,,
ゆくくるユニット別SR以上確定ガシャが引けるチケットです,,
正月10連ガシャチケット,,
正月10連ガシャが引けるチケットです,,
初心者ミッションS-SRアイドル確定ガシャチケット,초심자 미션 S-SR아이돌 확정 가챠 티켓,
初心者ミッションS-SRアイドル確定ガシャが引けるチケットです\nさらにSRのサポートアイドルを特訓できるアイテムも貰えます,초심자 미션 S-SR아이돌 확정 가챠를 시행하는 티켓입니다\n한층 더 SR의 서포트 아이돌을 특훈할 수 있는 아이템도 받을 수 있습니다,
初心者ミッションSSR20%Pアイドル確定ガシャチケット,초심자 미션 SSR20%P아이돌 확정 가챠 티켓,
初心者ミッションSSR20%Pアイドル確定ガシャが引けるチケットです,초심자 미션 SSR20%P아이돌 확정 가챠를 시행하는 티켓입니다,
初心者ミッション10連ガシャチケット,초심자 미션 10연가챠 티켓,
初心者ミッション10連ガシャが引けるチケットです초심자 미션 10연가챠를 시행하는 티켓입니다,,
育成応援10連ガシャチケットVol.10,,
育成応援10連ガシャVol.10が引けるチケットです,,
283記念10連ガシャチケット,,
283記念10連ガシャが引けるチケットです,,
バレンタイン記念SSRサポートアイドル確定ガシャチケット,,
バレンタイン記念SSRサポートアイドル確定ガシャが引けるチケットです,,
SE@SONALWINTERガシャチケット,,
SE@SONAWINTERガシャが引けるチケットです,,
バレンタイン記念10連ガシャチケット,,
バレンタイン記念10連ガシャが引けるチケットです,,
初心者応援10連ガシャチケットVol.4,,
初心者応援10連ガシャVol.4が引けるチケットです,,
初心者応援SSR確定ガシャチケットVol.4,,
初心者応援SSR確定ガシャVol.4が引けるチケットです,,
初心者応援10連ガシャチケットVol.5,,
初心者応援10連ガシャVol.5が引けるチケットです,,
初心者応援SSR確定ガシャチケットVol.5,,
初心者応援SSR確定ガシャVol.5が引けるチケットです,,
育成応援10連ガシャチケットVol.11,,
育成応援10連ガシャVol.11が引けるチケットです,,
育成応援10連ガシャチケットVol.12,,
育成応援10連ガシャVol.12が引けるチケットです,,
1st LIVE 10連ガシャチケット,,
1st LIVE 10連ガシャが引けるチケットです,,
1st LIVE SSR確定ガシャチケット,,
1st LIVE SSR確定ガシャが引けるチケットです,,
スマホPC記念10連ガシャチケット,,
スマホPC記念10連ガシャが引けるチケットです,,
スマホPC記念ユニット別SR以上確定ガシャチケット,,
スマホPC記念ユニット別SR以上確定ガシャが引けるチケットです,,
前夜祭10連ガシャチケット,,
前夜祭10連ガシャが引けるチケットです,,
前夜祭SSR確定ガシャチケット,,
前夜祭SSR確定ガシャが引けるチケットです,,
1st Anniversary10連ガシャチケット,,
1st Anniversary10連ガシャが引けるチケットです,,
1st Anniversaryユニット別10連ガシャチケット,,
1st Anniversaryユニット別10連ガシャが引けるチケットです,,
育成応援10連ガシャチケットVol.13,,
育成応援10連ガシャVol.13が引けるチケットです,,
1周年記念期間限定P-SSRアイドル確定ガシャチケット,,
1周年記念期間限定P-SSRアイドル確定ガシャが引けるチケットです,,
ユニット別SR以上確定ガシャチケット,유닛별 SR이상 확정 가챠 티켓,
ユニット別SR以上確定ガシャが引けるチケットです,유닛별 SR이상 확정 가챠를 시행하는 티켓입니다,
セレクションチケットパッケージ10連ガシャチケット,셀렉션 티켓 패키지 10연가챠 티켓,
セレクションチケットパッケージ10連ガシャが引けるチケットです,셀렉션 티켓 패키지 10연가챠를 시행하는 티켓입니다,
プロデューサーズカップ応援パッケージ10連ガシャチケット,,
プロデューサーズカップ応援パッケージ10連ガシャが引けるチケットです,,
MUSICカウントフリーサービス追加記念10連ガシャチケット,,
MUSICカウントフリーサービス追加記念10連ガシャが引けるチケットです,,
1st Anniversary10連ガシャチケット\nVol.2,,
1st Anniversary10連ガシャVol.2が引けるチケットです,,
1st Anniversaryユニット別SSR確定ガシャチケット,,
1st Anniversaryユニット別SSR確定ガシャが引けるチケットです,,
283くじ10連ガシャチケット,283 복권 10연가챠 티켓,
283くじ10連ガシャが引けるチケットです,283 복권 10연가챠를 시행하는 티켓입니다,
育成応援10連ガシャチケットVol.14,,
育成応援10連ガシャVol.14が引けるチケットです,,
イルミネSR以上確定ガシャチケット,일루미네 SR이상 확정 가챠 티켓,
イルミネSR以上確定ガシャが引けるチケットです,일루미네 SR이상 확정 가챠를 시행하는 티켓입니다,
アンティーカSR以上確定ガシャチケット,안티카 SR이상 확정 가챠 티켓,
アンティーカSR以上確定ガシャが引けるチケットです,안티카 SR이상 확정 가챠를 시행하는 티켓입니다,
放クラSR以上確定ガシャチケット,방과후 SR이상 확정 가챠 티켓,
放クラSR以上確定ガシャが引けるチケットです,방과후 SR이상 확정 가챠를 시행하는 티켓입니다,
アルストSR以上確定ガシャチケット,알스트로 SR이상 확정 가챠 티켓,
アルストSR以上確定ガシャが引けるチケットです,알스트로 SR이상 확정 가챠를 시행하는 티켓입니다,
初夏の晴れやか記念10連ガシャチケット,,
初夏の晴れやか記念10連ガシャが引けるチケットです,,
初夏の晴れやか記念P-SRアイドル確定ガシャチケット,,
初夏の晴れやか記念P-SRアイドル確定ガシャが引けるチケットです,,
SSR7％ガシャチケット,SSR7%가챠 티켓,
SSR7％ガシャが引けるチケットです,SSR7%가챠를 시행하는 티켓입니다,
SSR10％ガシャチケット,SSR10%가챠 티켓,
SSR10％ガシャが引けるチケットです,SSR10%가챠를 시행하는 티켓입니다,
SSR15％ガシャチケット,SSR15%가챠 티켓,
SSR15％ガシャが引けるチケットです,SSR15%가챠를 시행하는 티켓입니다,
1st Anniversary P-SRアイドル セレクションチケット,,
対象のSRプロデュースアイドルを選んで獲得できるチケットです,대상 SR프로듀스 아이돌을 선택해 획득할 수 있는 티켓입니다,
[お1人様3個まで],[1명3개까지],limit
[お1人様1個まで],[1명1개까지],limit
[お1人様5つまで],[1명5개까지],limit
[月5個まで購入可能],[월 5개까지 구입 가능],limit
