ja,zh
Ｐたんと一緒にアイドルを頑張っている三峰に、\nそろそろご褒美をくれてもいいのではないでしょうか……！\n……一緒にご飯なんか、ちょうどいい報酬だなぁ？,"P땅이랑 함께 아이돌을 열심히 하고 있는 미츠미네에게,\n이제 슬슬 상을 줘도 괜찮지 않을까요……!\n같이 식사하는 거, 딱 좋은 보상 아냐?"
いきましょう！　プロデューサー\n私たち、まだまだ上を目指さなくちゃ！\nふふっ、トップまで全力疾走よ！,"가자! 프로듀서\n우리들 계속 위를 향해야지!\n후훗, 톱까지 전력질주야!"
ここだけの三峰情報、その１！\n実家では飼っていたのに、今の家には猫がいないのは──\n……猫可愛さで、外に出られなくなりそうだからです……,"여기서만의 미츠미네 정보, 그 첫 번째!\n본가에서는 키웠는데, 지금 집에는 고양이가 없는 건……\n고양이가 귀여워서, 밖에 나갈 수 없게 될 것 같기 때문이랍니다…… "
ん～～～\nプロデューサーも\n休んだほうがいいですよ～？,음~~~\n프로듀서도\n쉬는 편이 좋다구요~?
甜花、失敗しちゃっても……\nプロデューサーさん、なんとかしてくれる……\nにへへ……甜花とプロデューサーさんの……連携技……！,"텐카, 실패해버려도……\n프로듀서님, 어떻게든 해줘……\n니헤헤…… 텐카랑 프로듀서님의…… 연계기……!"
きらきら～……\nきらきらきら～……,반짝반짝~……\n반짝반짝반짝~……
ね、プロデューサー\n雛菜のわるいところ\n５個言ってみて～？,"있지, 프로듀서\n히나나의 안 좋은 점\n5개 말해볼래~?"
プロデューサーさん！　遊びにいくっす！\nえ？　忙しいんすか？\nそっすか……そっすか……,프로듀서님! 놀러가는 검다!\n에? 바쁘심까?\n그렇슴까…… 그렇슴까……
大都会ダンジョン、制覇……！,"대도시 던전, 제패……!"
甜花……\n飛べる……,텐카……\n날 수 있어……
空から、見る街も……\nきらきら……,"하늘에서, 보는 거리도……\n반짝반짝……"
……失敗、しちゃったけど……\nプレゼント……作った……\n…………渡すの、見てて……？,"……실패, 해버렸지만……\n선물……만들었어……\n…………건네주는 거, 봐줘……"
甜花ちゃんと一緒に\nバースデーケーキ作ったんだ～\n喜んでくれるといいな～☆,텐카쨩이랑 같이\n생일 케이크 만들었어~\n기뻐해주면 좋겠다~☆
……違いますしー、この肉まん、ふたつとも\n自分で食べる用ですしー。……まぁ、どうしてもって\n言うなら分けてあげなくもなくもですケド,"……아니거든요, 이 고기만두, 둘 다\n제가 먹을 거거든요. ……뭐, 꼭 드셔야겠다고\n말씀하신다면 나눠드리지 못 할 것도 없지만요"
ここが、わたしの、みんなの\n居場所になったらいいなって…,"이곳이, 제가, 모두가\n있을 곳이 되었으면 좋겠다 하고…"
だ、大丈夫ですよ……！わたし\nひとりじゃないですから……！,"괘, 괜찮아요……！저\n혼자가 아니니까요……！"
大丈夫よ、プロデューサー\n私にはアナタがいるんだもの！\nきっとどんなことでも乗り越えられるわ,"괜찮아, 프로듀서\n내겐 당신이 있는걸！\n분명 어떤 일이든 극복할 수 있을 거야"
頑張ったから、その分ちゃんと\n結果を出したいです……！,"노력했으니까, 그만큼 확실히\n결과를 내고 싶어요……！"
わ、わたし！　いつかプロデューサーさんを\n包み込めるくらい大きな布になります！\nい、今はまだ、小さい糸ですけど……！,"저, 저! 언젠가 프로듀서님을\n감싸 안을 수 있을 정도로 커다란 천이 될게요!\n지, 지금은 아직, 작은 실이지만요……!"
最近私も大人しくなった──なんてわかったような口、\nきかないでくださいー。油断したところをガブッと……\n……って作戦かもしれないですよー？,요즘 얌전해졌다──같이 다 안다는 듯한 말\n하지 말아주세요. 방심한 틈에 덥석……\n……하는 작전일지도 모르잖아요?
やは～♡\n雛菜がいちばん～～～！,야하~♡\n히나나가 최고야~~~!
雛菜、アイドルに向いてるね～？,"히나나, 아이돌 어울리지~?"
ね、雛菜すっごく楽しいよ～\nプロデューサーは、楽しい～？,"있지, 히나나 엄청 즐거워~\n프로듀서는 즐거워~?"
え、今日の学校ですか……？\nう～ん、小テストがありましたよ！\nえへ、もちろん全部満点ですよ！,"어, 오늘 학교요……?\n으음~, 쪽지시험이 있었어요!\n에헤, 당연히 전부 만점이죠!"
ね、雛菜すっごくしあわせ～プ\nロデューサーは、しあわせ～？,"있지, 히나나 엄청 행복해~\n프로듀서는 행복해~?"
ね～、雛菜\nかわいい～？,"저기~, 히나나\n귀여워~?"
ん～、雛菜\nすごい～？,"음~, 히나나\n굉장해~?"
ん～、雛菜\nできると思う～？,"음~, 히나나\n할 수 있을 거라고 생각해~?"
客が何人だろうと、\n私のやることは変わらないので,"관객이 몇 명이든,\n제가 할 일은 변하지 않으니까요"
応援とか迷惑です。あなたは\n普通に見ていてください,응원 같은 거 민폐예요. 당신은\n그냥 보고 계세요
調子がよくてもわるくても、\n最大値を出すのが仕事でしょ？,"상태가 좋든 나쁘든,\n최대치를 끌어내는 게 일이잖아요?"
雛菜が楽しいから\nきっとみんなも楽しいよね～？,히나나가 즐거우니까\n분명 다들 즐겁겠지~?
雛菜のしあわせ～なとこ見てみ\nんなもしあわせ～になるよね～,히나나의 행복~한 모습을 보고\n다들 행복~해지겠지~
前に進めてるって……\n成長できてるって、アンタが\n言うなら、そうなのかもな,"앞으로 나아가고 있다고……\n성장하고 있다고 네가\n말한다면, 그럴지도 모르겠네"
前より強くなった気がするんですっ！　だから……っ！　もっともっともーっと強くなって、それで──！,"전보다 강해진 기분이 들어요! 그러니까…… 좀더 좀더 좀더 강해져서, 그래서……!"
他のステージの方が楽しそうだな,다른 스테이지가 더 재밌을 것 같네
なんか期待外れだ…,뭔가 기대에 어긋났어…
じっとしていられないね！,가만히 있을 수가 없네!
もう帰ろうかな…,이제 돌아갈까…
こんなものか…,이런 거구나…
サイコーのステージだ！,최고의 스테이지야!
バイブスが上がらないな…,분위기가 안 사네…
まだ続くのか…,아직도 계속하는 건가…
熱くなってきたよ！,뜨거워졌어!
プロデューサーさん。甘奈ね\nちょっとだけふたご座の輝きに\n近づけた気がするよ……！,프로듀서님. 아마나 있잖아\n조금은 쌍둥이자리의 빛에\n가까워진 기분이 들어……!
今回は、いつもと少し趣向を変えて\n──褒めてほしい、なんてワガママは\n聞いてもらえるだろうか……？,"이번엔, 평소랑 조금 취향을 바꿔서\n칭찬해달라는 어리광\n들어줄 수 있을까……?"
私、頑張ったと思いませんかぁ？\n……ってことで\nご褒美のお寿司、待ってまぁす,"저, 열심히 했다고 생각하지 않으세요?\n……그러니까\n상으로 초밥, 기다리고 있을게요"
うちの勢いはまだまだ止まらんよ！\nやけん、うちにまかせとってね\nプロデューサー！,"나의 기세는 아직 멈추지 않어야!\n긍께, 나헌테 맡겨보드라고\n프로듀서!"
こ、ここまでわたし\n頑張ってきましたから……！,"지, 지금까지 저\n노력해왔으니까요……!"
ここまで……参りました……\nそのことが……\n誇らしく……,여기까지……나아왔습니다……\n그 사실이……\n자랑스러워서……
なんか……\nふふっ\nありがと,뭔가……\n후훗\n고마워
ぴぇ！？　や、やった……！\n──あっ、い、いえ……！\nこのくらい当然です！,"삐에!? 해, 해냈어……!\n앗, 아, 아뇨……!\n이 정도는 당연하죠!"
わたしがいないと\nだめだめなんですからー！,제가 없으면\n답이 없으니까요!
トン……トン……\n前に……前に……\nこのまま……一歩ずつ……♪,톡……톡……\n앞으로……앞으로……\n이대로……한 걸음씩……♪
ファンのみなさんが好きでいてくれる『風野灯織』のことは、少しだけ、認められるようになりました,"팬 분들이 좋아해주시는 『카자노 히오리』를, 조금은 인정할 수 있게 됐어요"
プロデューサーさん、わたし\n頑張ってるって思いますか……,"프로듀서님, 저\n열심히 하고 있다고 생각하시나요……"
今は私も……少しだけ、羽ばたけるようになったって……そう思います……\nプロデューサーさんのおかげですっ,지금은 저도……조금은 날개짓 할 수 있게 되었다고……그렇게 생각해요……\n프로듀서님 덕분이에요
迷っても、悩んでも\nそれでも前に進んでこれたんだなって\nプロデューサーさんのおかげですよ！,"망설이고, 고민하고\n그래도 앞으로 나아갈 수 있었던 건\n프로듀서님 덕분이에요!"
面白いこと！　\nもっと！\nもっと！,재밌는 일!\n좀 더!\n좀 더!
あは～、プロデューサーって\nいつも雛菜のことで\n雛菜よりうれしそうだね～？,"아하~, 프로듀서는\n언제나 히나나 일로\n히나나보다 더 기뻐 보이네~?"
ここはあくまで通過点──……\nだけど、そうね……アナタには\nお礼を言いたいわ、ありがとう,"여기는 어디까지나 통과 지점……\n하지만, 그렇네……당신에게는\n감사를 표하고 싶어, 고마워"
ふゆならこれぐらいできて当たり前\n──って何よ、その不満そうな顔は\n喜べって？　……甘やかさないでよね,"후유라면 이 정도 할 수 있는 건 당연하지\n근데 뭐야, 그 불만스러운 얼굴은\n기뻐하라고? ……우습게 보지 마"
まだまだこれからだよ！　でも、これまで駆け抜けてきたのも本当だから……プロデューサー、ありがとう！,"아직 지금부터야! 하지만 지금까지 달려온 것도 사실이니까…… 프로듀서, 고마워!"
やったぞえらいぞーって、褒めたくて\n自分のこと、それから\nプロデューサーさんのことも,"해냈어, 훌륭해 라고, 칭찬해주고 싶어\n나 자신을, 그리고\n프로듀서도"
プロデューサーに褒めてもらえると、\n調子乗っちゃうじゃん～？　けど……\nアイドルも地道な努力が大切なんだね,"프로듀서한테 칭찬받으면,\n신바람이 나잖아~? 그래도……\n아이돌도 꾸준한 노력이 중요한 거구나"
努力に意味とかないですよ\nそれを褒めるのって身内だけでしょ？\n……私は結果がまあまあなら十分です,노력에 의미 같은 건 없어요\n그걸 칭찬하는 건 가족들이나 하는 거죠\n저는 그럭저럭한 결과면 충분해요
受けたご恩はきっちり覚えておりますよ？　だからこそ、立派になった姿を見せてるわけですから──なんてね！,"받은 은혜는 충분히 기억하고 있다구요? 그러니까, 훌륭해진 모습을 보여드리고 있는 거예요……막 이러고 말야!"
甜花、最近、ひとりで起きられる……\nこれって……プロデューサーさんの\nおかげ……？,"텐카, 요즘 혼자 일어날 수 있어……\n이건……\n프로듀서님 덕분……?"
あは～\nくすぐったい～,아하~\n간지러워~
うん～♡\n雛菜上手でしょ～？,응~♡\n히나나 잘하지~?
な、なんてことないですよ\nこ、このくらい……！,"아, 아무렇지도 않다구요\n이, 이 정도쯤은……!"
なんと！　頭のパフェは非常食です！　──って、本気にしないでくださいね！？,"세상에! 머리에 있는 파르페는 비상식량이에요! 아니, 진심으로 받아들이지 말아주세요!?"
ね～♡\n雛菜すごいでしょ～？,저기~♡\n히나나 굉장하지~?
は～い♡\n雛菜かわいいでしょ～？,네~♡\n히나나 귀엽지~?
もしかして緊張してるんじゃ\nないですかー？,혹시 긴장하고 계신 거\n아닌가요ー?
や、やればできるんですよ…！\n本当です！,"하, 하면 된다구요…!\n정말이에요!"
やは～！\nどうしたの～？,야하~!\n왜 그래~?
ん～、雛菜\nなんか甘い物食べたい～\nプロデューサーも行こ～？,"음~, 히나나\n뭔가 달콤한 거 먹고 싶어~\n프로듀서도 같이 가자~?"
ん～？\nだめじゃない～？,응~?\n그럼 안 되잖아~?
え～～～\n今よりもっと頑張るの～？\n雛菜、頑張ってるよ～？,에~~~\n지금보다 힘내야 하는 거야?\n히나나 열심히 하고 있다구~?
ね、プロデューサー\n雛菜のいいところ\n５個言ってみて～？,"있지, 프로듀서\n히나나의 좋은 점\n5개 말해볼래~?"
雛菜はアイドルやって～\n毎日楽しくて\nしあわせ～って感じ！,히나나는 아이돌이 돼서~\n매일 즐겁고\n행복해~란 느낌!
あは～、雛菜不合格～～～？,"아하~, 히나나 불합격~~~?"
あは～\nプロデューサー！\nお疲れさまです～♡,아하~ \n프로듀서!\n수고하시네요~♡
やは～♡　さすが雛菜～～～,야하~♡ 역시 히나나~~~
……あは～\n楽しかったのに、終わっちゃったね～,"……아하~\n즐거웠는데, 끝나버렸네~"
やは～、そうだよね～～～\n雛菜がいちばんよかったよね～～～,"야하~, 그치~~~\n히나나가 제일 좋았지~~~"
ん～、そっか～～～\n雛菜、よかったのにね～～～？,"음~, 그렇구나~~~\n히나나, 잘했는데 말이지~~~?"
あは～、なんで～～～？,"아하~, 왜~~~?"
あは～♡\n楽しかった～、もう終わっちゃうの～？,"아하~♡\n재밌었다~, 벌써 끝나는거야~?"
へ～？\n雛菜できるよ～,헤~?\n히나나 할 수 있어~
あは～！\n雛菜かわいい～,아하~!\n히나나 귀여워~
やっぱり\n雛菜すごい～！,역시\n히나나 대단해~!
あは～♡\nプロデューサー\nお疲れさま～,아하~프로듀서\n수고하시네요~
あは～、今ね\nプロデューサーのこと\n見てた～♡,"아하~, 지금 있지\n프로듀서를\n보고 있었어~♡"
あは～\nやめてください～～～,아하~\n그만하세요~~~
あ～～～……,아~~~......
ね、甘いもの\n食べにいこ～？\nいいでしょ～？,"있지, 달콤한 거\n먹으러 가자~?\n괜찮지~?"
ね～～～\n雛菜のこと\n忘れてない～？,저기~~~\n히나나를 잊어버린 거 아냐~?
は～い\nぎゅ～♡\nってする～？,자~\n꼬옥~♡\n할래~?
やは～♡\n雛菜、プロデューサー\nすきかも～～～,"야하~♡\n히나나, 프로듀서가\n좋을지도~~~"
やは～、雛菜合格～～～！,"야하~,히나나 합격~~~!"
わ～、\n何～～～？,"와~,\n뭐야~~~?"
ん～～～\n何してんの～～～？,음~~~\n뭐하는 거야~~~?
プロデューサー、雛菜に\nごめんなさいは～？,"프로듀서, 히나나한테\n잘못했어요는~?"
プロデューサー\nあのね～\n聞いて聞いて～？,프로듀서\n있잖아~\n들어봐 들어봐~
撫でる～？\nどうぞ～～～？,쓰다듬을래~?\n 자~~~~
……へ～？,……헤~?
あは～\nお疲れさまです～,아하~\n수고하셨어요~
あは～\nちょっと～～～？,아하~\n잠깐만~~~?
あ～～～……\nそういう感じ？,아~~~......\n그런 거였어?
うわ、\nえ～……,우와\n에~...
え～、\n何～～～？,에~\n왜~~~?
え～？\n何か付いてた～？,에~?\n뭔가 붙어있었어~?
それじゃあプロデューサーは\n雛菜に集中しててね～？,그러면 프로듀서는 \n히나나한테 집중하고 있어줘~?
は～い♡\n市川雛菜、高校１年生です～～～,"네~\n이치카와 히나나, 고등학교 1학년이에요~"
へ～～～……,헤~~~......
やは～、雛菜もそう思う～～～！\nありがとうございます～,"야하~, 히나나도 그렇게 생각해~~~! 고맙습니다~"
やは～,야하~
ん～、プロデューサー\nどっか行っちゃった～？,"음~, 프로듀서\n어디 간 거야~?"
ん～？　いいよ～,응~? 좋아~
ん～～～？\nあ、プロデューサー,"음~~~?\n아, 프로듀서"
ん～～～？\nなんですか～？,음~~~?\n뭐예요~?
ん～～～\nよくないですよ～,음~~~\n안 좋다구요~
今日はもうおしまい～？\nじゃあ帰ろっかな？,오늘은 벌써 끝이야~?\n그럼 돌아갈까나?
今日は休みにしよう\n休むのも大事だからな,오늘은 쉬어야지\n쉬는 것도 중요하니까
今日も楽しく\nしあわせ～♡,오늘도 즐겁고\n행복하게~♡
雛菜、できると思う～？,"히나나, 할 수 있을 거라고 생각해~? "
雛菜、ソファに\nごろ～んてしていい？,"히나나, 소파에서\n빈둥빈둥~해도 돼?"
雛菜はね、\n雛菜がしあわせ～って思えることだけでいいの,"히나나는 있지,\n히나나가 행복해~라고 생각하는 것만 있으면 괜찮아"
やれるって、言って,"할 수 있다고, 말해줘"
ありがと\nここまで……ありがと,고마워요\n여기까지……고마워요
行くよ……待ってるから\nもっと、上で,"갈게……기다릴 테니까\n좀 더, 위에서"
行っくよーーみんな～～っ！！\nみんなのことは、このチョコアイドルが応援します！,간다모두들!!\n모두를 이 쵸코 아이돌이 응원할게!
かくれんぼも鬼ごっこも好きですし──あっ、木の実拾ったりとかも楽しそうですね！,"숨바꼭질도 술래잡기도 좋아하고앗, 나무 열매를 주으러 다니는 것도 즐겁죠!"
へへへ平気ですよ……！\n心配しすぎです……！,괘괘괘괜찮아요……!\n 걱정이 심하시네요……!
ぴぇ！？ききき緊張なんて\nしてませんよ……！,삐에!? 기기기긴장 같은 거 안 했어요……!
ぴゃ！？\nだだだ大丈夫です……！,뺘!? \n괘괘괘괜찮아요……!
こうやって隠れていましょう\n……ね？,이렇게 숨어있어봐요\n……알았죠?
わ、わたし、もっと頑張ります\n頑張って……それで……\nもっといい福丸小糸になります……！,"저, 저, 좀 더 열심히 할게요\n열심히 해서…… 그래서……\n더 나은 후쿠마루 코이토가 될래요……!"
え、えへ……\nわ、わたしにかかれば\nこのくらいよゆーですよ……！,"에, 에헤……\n저, 저한테 걸리면 이 정도는 여유롭다구요……!"
え、えへへ……\nべ、別に喜んでないですよ\nこれが普通で当たり前ですから……！,"에, 에헤헤……\n벼, 별로 기뻐하는 거 아니에요!\n이게 보통이고 당연한 거니까……!"
なななな……！\nや、やめてください……！,"뭐뭐뭐뭐……!\n그, 그만둬주세요……!"
びびびっくりしました……！\nもう……！,까까깜짝 놀랐잖아요……!\n정말……!
ぷ、プロデューサーさんは\nわたしがいないとだめだめ\nなんですからー！,"프, 프로듀서님은\n제가 없으면\n답이 없다니까요ー!"
も、もう……！\nう、嬉しくないですよ……！,"저, 정말……!\n기, 기쁘지 않다구요……!"
わ、わたしも……！\nプロデューサーさんがいないと\nだめだめかもしれないです……,"저, 저도……!\n프로듀서님이 없으면\n답이 없을지도 몰라요……"
……今よりもっと、もっと頑張ります……！,"……지금보다 더욱, 더욱 힘낼게요……!"
あ……えっと、\nこ、このくらいよゆーです！,"아……저기, \n이, 이 정도는 여유로워요!"
へ、へっちゃらです……！\n負けるわけないです……！,"무, 문제 없어요……!\n질 리 없어요……!"
ままま任せてください……！\nわ、わたしに……！,"마마마맡겨주세요……!\n저, 저한테……!"
わたし、最後までもっと……\nもっと頑張りたかったです……！,"저, 마지막까지 더……\n더욱 열심히하고 싶었어요……!"
えっと、あの……\n──え！\nこのお菓子貰っていいんですか？,"저기, 그……\n에!\n이 과자 받아도 되는 건가요?"
ぴぇ……！？\nな、なんだ……\nプロデューサーさんですか……,"삐에……!?\n뭐, 뭐야……\n프로듀서님인가요……"
……プロデューサーさん、わたし\nちゃんと頑張れてましたよね……？,프로듀서님... 저\n제대로 열심히 한 거겠죠...?
ご、合格！？　ま、まあ当然ですけどね……！,"하, 합격!? 무, 뭐 당연한 거지만요...!"
ぴゃ！？,뺘!?
ふ、不合格……も、もっと頑張ります……！,"부, 불합격……더, 더욱 열심히 할게요……!"
……ぴゃ！？\nえ、あ、えっと！　あ、ありがとうございます……！,"……뺘!?\n에, 아, 저기! 고, 고맙습니다……!"
ぴゃ……！？\nななななんですか……！\n何か用事ですか……！？,뺘……!?\n뭐뭐뭐뭔가요……!\n뭔가 볼일이라도 있으신가요……!?
わたし……最後まで頑張って、\nいいんですね……！,"저…… 마지막까지 열심히 해도,\n되는 거네요……!"
あっ、プロデューサーさんじゃ\nないですかー！,"앗, 프로듀서님\n아니세요!"
あの、プロデューサーさんー！\nどうしちゃったんですかー？,"저기, 프로듀서님!\n무슨 일 있으신가요?"
う、うん……！　い、いいの……！？,"으, 응...! 그, 그래도 돼요...!?"
お、怒りますよ……！\nプロデューサーさん！,"아, 화낼 거예요...!\n프로듀서님!"
こ、子ども扱いしてませんか……！,"어, 어린애 취급하고 계신 거 아닌가요...!"
ご、合格……よ、よかった……！,"하, 합격... 다, 다행이다...!"
そろそろレッスンはじめませんか\nプロデューサーさんー！,슬슬 레슨 시작하지 않으실래요\n프로듀서님!
な、なんですか\nプロデューサーさん……！,"뭐, 뭔가요\n프로듀서님...!"
な、何してるんですか\nプロデューサーさんー！,"뭐, 뭐하시는 건가요\n프로듀서님!"
な、撫でないでください……！,"쓰, 쓰다듬지 말아주세요...!"
みんなは今日\n何してるのかな……,다들 오늘\n뭐하고 있으려나...
も、もう！　許しませんよ\nプロデューサーさん！,"저, 정말! 용서 안할 거예요\n프로듀서님!"
わたしがいないとだめだめですもん\nプロデューサーさん！,제가 없으면 답이 없으시다니까요\n프로듀서님!
プロデューサーさんには\nわたしがついててあげます！,프로듀서님께\n제가 따라가 드릴게요!
…………\nえっと、ですね……,"......\n그게, 말이죠......"
……あの\nやめてください,저기...\n그만해주세요
あ、あの……\nど、どうしたんですか……？,"저, 저기...\n무, 무슨 일 있으신가요...?"
あ、あの……\nなんですか……,"저, 저기...\n무슨 일이신가요..."
あ、え、えっと……\nみんなは……？,"아, 그, 그게...\n다른 애들은...?"
あ、えっと、ですね……\nわ、わかりました……,"아, 그게 말이죠...\n아, 알겠습니다..."
い、いえ！　わたしはよゆーですよ\n全然平気です！,"아, 아뇨! 저는 여유롭다구요\n완전 괜찮아요!"
え……\nえっと……,그...\n그게...
え、えへ……！,"에, 에헤...!"
えっと……ですね……\nあの……,그게... 말이죠...\n저기...
すっごく頑張れそうです……！,엄청 힘낼 수 있을 거 같아요...!
ぴぇ……！？,삐에...!?
ぴぇ！？\nななな何するんですか……！？,삐에!?\n뭐뭐뭐뭐하시는 거예요……!?
ぴゃ……！？\nぷ、プロデューサーさん……,"삐에……!?\n프, 프로듀서님……"
ぴゃ！？\nどどどどうしました……？,뺘!?\n왜왜왜왜 그러세요……?
ぴゃ！？\nななななんですか……！？,뺘!?\n뭐뭐뭐뭐예요……!?
ぴゃ！？\nななななんですか……！,뺘!?\n뭐뭐뭐뭔가요……!
ぴゃ！？\nわわわわたしに何か……！,뺘!?\n저저저저한테 뭔가……!
みんな、わたしがいないとだめなんですよー！,"다들, 제가 없으면 안 된다구요!"
ややややめてください……！,그그그그만해주세요...!
わ、わたしは……\nど、どうしたら……,"저, 저는...\n어, 어떻게 해야..."
今日は休みにしよう\n休むのも大切なことだぞ,오늘은 쉬도록 해요\n휴식도 중요한 거니까
うまか時には、うまか～って\nうれしか時には、うれしか～って……\n──んふふ～、今はどっちもやね～,잘 될 때는 잘 됐디야\n기쁠 때는 기쁘디야~인디...\n응후후~ 지금은 둘 다구마~
なんか、ありがと言うタイミングなくて\nないっていうかなんだろ……\nごめんね、今になって。ありがと,"뭐랄까, 고맙다고 말할 타이밍이\n없었다고나 할까……\n미안해, 이제서야. 고마워"
あなたには\n心配されたくありません,당신에게는\n걱정받고 싶지 않아요
今、ここにいることが、私の\n答えってことにしてください,"지금, 여기에 있는 것이, 제\n대답이라는 것으로 해 주세요"
……いつも優しいあなたが嫌い,……언제나 상냥한 당신이 싫어
──園田智代子は、プロデューサーさんのおかげで、\n今日もチョコアイドルとして元気に活動できています──！\nだから……いつもありがとうございます、ですよ！,"소노다 치요코는, 프로듀서님 덕분에,\n오늘도 쵸코 아이돌로서 건강하게 활동하고 있어요! \n그러니까……언제나 감사합니다, 예요!"
あなたのやさしいところ、情に厚いところ、\n結構ドジだったり、ユニークだったりするところ……\nそうやって私を騙そうとするところ、全部大嫌いです,"당신의 상냥한 점, 정이 많은 점,\n상당히 얼빠지거나, 유니크하거나 한 점……\n그렇게 해서 나를 속이려고 하는 점, 전부 정말 싫어요"
