text,trans
"……感想とかやめてもらえます？
あなたのためじゃないので","감상같은 거 말하지 말아주실래요?
당신 보라고 한 게 아니니까요"
ああ、そう,"아, 그래요?"
……ふうん,……흐응
"はい、ゆっくりと休めました
……これ以上のことはプライベートなので","네, 푹 쉬었어요
……이 이상은 프라이빗이라"
ふぁ、ねむ……,"후아, 졸려……"
約束を忘れるとか、ないですね,약속을 잊어버렸다든가 한 거 아니겠죠
……本当ありえない,……정말 말도 안 돼
"ダンスレッスン終わりました
特に問題ありません","댄스 레슨 끝났어요
딱히 문제는 없었어요"
……ふう、シャワー浴びたい,"……후우, 샤워하고 싶다"
ねえ、ミスター・馬車馬,"저기요, 미스터 일중독"
"あなたと違って、人間には休みが必要なんです
言葉……わかります？","당신과 달리 인간에게는 휴식이 필요해요
무슨 말인지 아시겠어요?"
ここは本当にいい事務所ですね,여긴 정말로 좋은 사무소네요
約束のひとつも守れない社員をクビにしないなんて,약속 하나 지키지 못 하는 사원을 자르지 않고 있다니
あ、そうだ,"아, 그렇지"
二週間後、ビジュアルレッスンにできますか,이주일 후에 비주얼 레슨 잡아주실 수 있나요
では、よろしくお願いします,"그럼, 잘 부탁드리겠습니다"
"はい、わかりました
あなたが無能だということが","네, 잘 알겠네요
당신이 무능하다는걸"
"お疲れ様！
どうだった？","수고했어！
어땠어？"
別に、普通です,"딱히, 평범했어요"
ははっ、円香らしい感想だな,"하핫, 마도카다운 감상이네"
……ワンパターンみたいに言われるのも癪ですね,……원 패턴이라는 듯이 말하는 것도 화가 나네요
"お、それじゃあ他の感想は？
円香が思ったことや感じたこと、教えてくれ","오, 그럼 다른 감상은？
마도카가 생각한 거나 느꼈던 것, 알려줘"
…………,…………
秘密です,비밀이에요
"えっ、ずるいぞ
今度はそういうパターンなのか？","에, 치사하네
이번엔 그런 패턴이야？"
"ずるい？　ふふ、かわいらしい語彙力
小学生よりも稚拙な煽りしかできないんですね","치사해？ 후후, 귀여운 어휘력이네요
초등학생보다 치졸한 도발 밖에 못하나 보네요"
"いやいや！　ええと……
うん、話したくなったら、いつでも話してくれていいからな","아니아니！ 그……
응, 얘기하고 싶어지면, 언제라도 얘기해줘도 되니까"
はい、とっても大人な対応をありがとうございます,"네, 무척 어른스러운 대응 고맙습니다"
"透、お疲れ様
なんていうか……堂々としてたよ","토오루, 수고했어
뭐랄까……당당하더라"
ふふっ、ありがと,"후훗, 고마워"
"いや、うん……
半分は褒めてるんだけど──","아니, 응……
반은 칭찬하는 건데"
"カメラに抜かれた時に
ぼんやりしてるのは、ちょっとな","카메라에 비춰졌을때
멍하니 있었던 건, 조금 그랬지만"
あー、うん,"아ー, 응"
"今日はさ、ウケてたから問題ないけど
ピリッとしちゃうこともあるからな？","오늘은 말야, 잘 먹혀서 문제는 없었지만
찌릿하게 혼날 때도 있으니까 조심해？"
"うん
まぁ、ぼんやりしてたっていうか……","응
뭐, 멍하니 있었다고 할까……"
ん？,응？
考え事してたんだけどね,조금 생각을 하고 있었던 거 뿐이지만 말야
"……はは
見た目はそんなに変わらないからな？","……하하
겉보기로는 별반 차이가 없으니까 말이지？"
ああ、そうだな！,"아아, 그렇구나!"
プロデューサーさん、\n甘奈がなんとかしておくねっ,"프로듀서님, \n아마나가 어떻게든 해둘께"
では、そろそろお仕事に移ってもらいましょうか,"그럼, 슬슬 업무로 돌아올까요? "
最初にプロデュースするアイドルを選んであげてください♪,처음으로 프로듀스할 아이돌을 선택해 주세요♪
ありがとうございますっ,감사합니다
私がなんとかしておきます……,제가 어떻게든 해둘게요...
大丈夫です、あたしに任せてください！,"괜찮아요, 저한테 맡겨주세요!"
プロデューサーさん、私がなんとかしてみますねっ,"프로듀서님, 제가 어떻게든 해볼께요"
さっすが～！　やるぅ♪\nうち、ご褒美あげちゃおっかなぁ,"과연~!꽤 하네♪\n나, 상줄까나"
ちょい待ちちょい待ち～\nこれくらいサクッとわかるっしょ～,잠만 기달 잠만 기달~\n이 정돈 착 하고 알아야지~
せいか～い！　すごか～\nなんでわかったと！？　んふふ～、うれしか……,"정~답! 굉장혀~\n어케 알았당가!? 응후후~, 기쁘구마……"
ふぇ～！　はずればい……\nうちの声とか～、手とか～わからんかったと～……？,"후에~! 틀렸구마……\n내 목소리라든가~, 손이라든가~ 몰랐당가~……?"
正解よ！　でも当然よね\n私だって絶対わかるもの……アナタのこと,정답이야! 하지만 당연하네\n나 역시도 무조건 알 수 있을걸……너라면
残念……私のことわからなかったかしら？\nそれは……少し寂しいわね,유감……나에 대해 몰랐던 걸까?\n그건……조금은 쓸쓸하네
ふふ……\nはい……ここに……,후후……\n네……여기에……
──は、はい……！　その……\n当たりで……ございます…………,"─네, 네……!그게……\n맞혔……사옵니다…………"
あははっ\n簡単すぎたねっ！,아하핫\n너무 간단하지!
残念！　めぐるだよー！,유감! 메구루야-!
な、なんで……\nわかったの……！？,"어, 어떻게……\n 알았어……!?"
やった……！\n甜花の、勝ち……！！,"야호……! \n텐카의, 승리……!!"
ま、当然よね\n外したらどうしてやろうかって考えてたとこだったわ,"뭐, 당연하지\n틀렸다면 어떻게 해줄까하고 생각하고 있던 참이었어"
はい残念でした\n罰ゲーム決定ね,네 유감입니다\n벌게임 결정이네
えへへっ当たりですっ！\nプロデューサーさんに、おかしをおすそわけですっ！,"에헤헷 맞췄어욧!\n프로듀서님에게, 과자를 나눠드릴게요!"
はずれですっ！　プロデューサーさんにも\nわからないことがあるんですね！　えへへっ,꽝이에욧! 프로듀서님에게도\n모르는 것이 있는거군요! 에헤헷
正解っす\nうーん……簡単すぎたっすか？,정답이에욧\n으-응…… 너무 간단했슴까?
あさひっす～！\nけど、どうして間違えたっすか？　教えてほしいっす！,"아사히임다~! \n하지만, 어째서 틀렸슴까? 가르쳐주셨음함다!"
せ、正解……だから\n……ん、お菓子やる。ハロウィンだしな,"저, 정답……그러니까\n……음, 과자줄게. 할로윈이고"
はずれ……！　って、\nわざと間違えただろ、プロデューサー！,"꽝……!이랄까,\n일부러 틀린거지, 프로듀서!"
もう～、最後まで言わせてください……！\n千雪です,"정말~, 마지막까지 말하게 해 주세요……!\n치유키에요"
……もう。フライングで間違えるなんて\nひどいです、プロデューサーさん！,"……정말. 다 듣지도 않고 말해서 틀리다니\n너무해요, 프로듀서님!"
お見事！　正解です！\nプロデューサーさんには簡単な問題すぎましたかね……！？,훌륭해! 정답이에요!\n프로듀서님에겐 너무 간단했었나요……!?
惜しい！　正解は園田智代子でした！\n次はきっと当ててくださいね！,아깝다! 정답은 소노다 치요코였습니다!\n다음엔 꼭 맞혀주세요!
プロデューサーが間違えるわけないですよね……！,프로듀서가 틀릴 리가 없겠죠……!
すっすみません……！\n今の、忘れてください,"죗 죄송합니다……! \n지금껀, 잊어주세요"
正解っ☆　甘奈でした～！\nプロデューサーさんなら当ててくれるって、信じてたよ☆,"정답☆아마나였습니다~! \n프로듀서님이라면 맞혀줄거라고, 믿고 있었어☆"
えっ……？　\n本当にわからなかったわけじゃない……よね……？,엣……?\n정말로 몰랐던 거는 아니……겠지……?
はい……\nわたし……です……♪,네……\n저……예요……♪
ふふ……ふふふっ……！\nもう一回……です……！,후후……후후훗……! \n한번 더……에요……!
正解ですー\n……んー、正解ってなんか物足りないですねー,"정답이에요―\n……음─, 정답이라니 뭔가 어딘지 부족하네요─"
ふふー、ハズレですー\nバツとして、お菓子一年分を要求しまぁす,"후후─, 꽝이에요―\n벌로써 과자 일년치를 요구합니다아"
さすが、大正解だ。声か、話し方か、それとも……\nなんて、理由を聞くのは野暮かな,"역시, 대정답이야, 목소리인가, 말투인가, 그게 아니면……\n랄까, 이유를 묻는건 멋없으려나"
おや、わからなかったかい？\nそれなら私の声をもっと聞き、もっと覚えてもらわないとね,"어머, 몰랐던거야?\n그렇다면 나의 목소리를 좀더 듣고, 좀더 기억해주지 않으면"
おおっ、最低限のヒントでよくできました！\nそう！　Ｐたんの三峰です！,"오옷, 최저한의 힌트로 잘 해냈네!\n그래! P땅의 미츠미네입니다!"
ありゃー、残念！　わかってもらえなかったかぁ\n三峰、悲しいな～,"어머─, 유감! 몰라준건가아\n미츠미네, 슬프네~"
ほわぁ、正解です、プロデューサーさんっ\nあ……声で誰だかすぐわかっちゃいますよねっ,"호와아, 정답이에요, 프로듀서님\n아……목소리로 누군지 바로 아신거군요"
……その、ハズレなんです……\n……急に目隠ししちゃってすみませんでした……っ,"……그게, 틀렸어요……\n……갑자기 눈 가려버려서 죄송했어……욧"
ふう……,후우......
二週間後、ビジュアルレッスンさせて！,"2주일 후에, 비주얼레슨 시켜줘!"
二週間後、休んでもいい？,"2주일 후, 쉬어도 될까?"
一週間後、休んでもいい？,"1주일 후, 쉬어도 될까?"
一週間後、休めたりするっすか？,"1주일 후에, 쉬어도 되겠슴까?"
今週、休めたりするっすか？,"이번 주, 쉬어도 되겠슴까?"
二週間後、休めたりするっすか？,"2주일 후에, 쉬어도 되겠슴까?"
研究！　したいっす！\r\nどうしても気になることがあるんす！,연구! 하고 싶슴다!\r\n아무래도 신경이 쓰이는게 있슴다! 
ありがとう、プロデューサー！\r\nアナタに祝ってもらえるのを、楽しみにしていたのよ,"고마워요, 프로듀서! \r\n당신에게 축하받는 것을, 기대하고 있었던거야"
こんなに素敵なプレゼント……！　\r\nうふふ、アナタの誕生日も楽しみにしていてちょうだい！,"이렇게 멋진 선물……! \r\n후후, 당신의 생일도 기대하고 있어 줘!"
二週間後は休ませて\n体はアイドルの資本なんだから,2주일 후는 쉬게 해줘\n몸은 아이돌의 자본이니까 
一週間後、ビジュアルレッスンしてい～い？,"일주일 후, 비주얼 레슨 해도 괜찮아~ ? "
いいよ……恋鐘ちゃん……,﻿좋아…… 코가네짱……
あのね……,저기요……
摩美々ちゃんと……\r\n咲耶さんと……,마미미짱과……\r\n사쿠야씨와……
結華ちゃん……,유이카짱……
みんな──,모두─
フグさん……,복어씨……
──……！,─……!
……！\r\nふぇ……！？,……! \r\n……!?
はは……\r\n楽しそうだな……,하하……\r\n즐거운 듯 하다……
ねえ、二週間後にボーカルレッスンしてもいい?,"저기, 2주일 후에 보컬 레슨 해도 돼? "
一週間後は休ませて\r\n体はアイドルの資本なんだから,일주일 후에 쉬게 해줘\r\n몸은 아이돌의 자본이니까 
……\r\nこれが……,……\r\n이것이..
『自由』を導く……\r\n焔となりましょうか……,『자유』를 이끄는... 불꽃이 될까요...
二週間後、ビジュアルレッスンしたいっす！,2주일 후、비주얼 레슨 하고 싶슴니다! 
あっちゃ～……やっちゃったっす～……,앗챠 ~…… 저질러 버렸슴다 ~…… 
プロデューサーさん、ごめんっす！,"프로듀서님, 죄송함다! "
二週間後、ビジュアルレッスンしてい～い？,"2주일 후, 비주얼 레슨 해도 괜찮아~ ? "
あ～、やっぱなんか物足りないカンジするわ～,"아 ~ , 역시 어딘가 부족한 느낌이 들어 ~ "
次は頼むね～、プロデューサー,"다음은 부탁할게 ~, 프로듀서"
あ、ヤッバ！　今日誘われてたんじゃん！,"아, 위험해! 오늘 권유 받았었잖아!"
友達、ちょーおこなんだけど～……,"친구, 초ー화나 버렸는데 ~……"
プロデューサー、ちょい誘われちゃって\r\n断れない系でさ～,"프로듀서, 조금 권유 받아버렸는데\r\n거절할 수 없어서 말야 ~"
今週、休んでもいい？,"이번 주, 쉬어도 괜찮아?"
一週間後、ボーカルレッスンってできる～？,"일주일 후, 보컬 레슨으로 할 수 있어 ~ ?"
軽く声出し、しとくか,﻿가볍게 소리 내볼까
のど飴、いるか,﻿목캔디、있을까
カラオケで\r\n歌いすぎたりしたか,가라오케에서\r\n너무 노래했는지
んんっ！,﻿응읏!
（のどの調子が悪いのか？）,(목의 상태가 나쁜 것인지?)
サンキュ！　別に調子は悪くないんだけどさ\r\nちょっと出が不安だったんだよね～,땡큐! 별로 상태는 나쁘지 않지만 \r\n조금 목소리가 불안했어요~
（調子は悪くないみたいだ）,(상태는 나쁘지 않은 것 같다)
ん～、調子は悪くないから大丈夫っぽいけど\r\nま、一応もらっとくわ！,응~、상태는 나쁘지 않기 때문에 괜찮을거 같지만\r\n뭐、일단 받아 둬요!
（気休めにはなったかな）,(위안이 되었는지)
いやいや、さすがにうちもそこまではやんないよ？,아니아니、나라도 거기까지 하진 않아?
（悪い勘繰りをしてしまった）,(나쁜 억측을 해 버렸다)
あ～、もうちょい体動かしたい系～,"아~, 조금만 더 몸을 움직이고 싶은 느낌 ~"
プロデューサー、二週間後ダンスレッスンしたいんだけど,"프로듀서, 2주 후에 댄스 레슨 하고 싶은데"
プロデューサー、今週ダンスレッスンしたいんだけど,"프로듀서, 이번 주에 댄스 레슨 하고 싶은데"
おっ、さすがプロデューサーじゃん♪,"옷, 역시 프로듀서네♪"
え～、無理なん？\r\nま、しゃーないか～,"에 ~ , 무리야?\r\n뭐, 어쩔 수 없지 ~ "
うぁ～,우아~
いや～、ちょーヤバかった！,"이야 ~ , 초ー위험했네! "
愛依、お疲れ様\r\nやっぱりカメラがあると緊張するよな,"메이, 수고했어\r\n역시 카메라가 있으면 긴장하는구나 "
いや、それもそうかもだけどさ～,"아니, 그것도 그렇지만 말야 ～"
んなことより、あっちこっちに\r\n有名な人、いまくりで！,"그런 것보다, 여기저기에 \r\n유명한 사람, 잔뜩이라서 !"
心臓のバクバク、これ緊張なのか\r\nテンション上がってんのかわかんないわ～,"심장의 두근두근, 이건 긴장이려나\r\n텐션이 오르고 있는 건지 모르겠어 ~"
やっぱテレビってハンパないわ！,역시 텔레비전은 장난아니네 !
まぁ、なんにせよ、大事もなく終わって良かったよ\r\nそろそろ帰ろうか,"뭐, 어쨌든, 무사히 끝나서 다행이야\r\n슬슬 돌아갈까"
だね～\r\nこれ以上ここにいたらどーにかなっちゃいそ～！,그렇지 ~\r\n이 이상 여기에 있으면 어떻게 될 것 같다구 ~ !
うち、もっとアガるメイクテク覚えたいんだよね～,나、더 쩌는 메이크 테크닉 배우고 싶은데 ~ 
今週、ビジュアルレッスンしてい～い？,"이번 주, 비주얼레슨 해도 될 ~ 까 ?"
あ～あ、可愛くなるコツ、わかんなかったじゃん,"아 ~ 아, 귀엽게 보이는 요령, 모르게 됐잖아"
うちの可愛い姿、見れなくて残念だったね～,"내 귀여운 모습, 못 보게 되서 유감이네 ~"
プロデューサー、一週間後ダンスレッスンしたいんだけど,"프로듀서, 일주일 후 댄스레슨 하고싶은데 "
よっしゃ～、めっちゃ動いた～！,"좋았어 ~, 엄청 움직였다 ~ !"
マジスッキリだわ！\r\nプロデューサー、サンキュ！,"진심 상쾌해졌어 ! \r\n프로듀서, 땡큐 !"
うっわ……ビミョー,웃와…… 미묘
さっきから何回も撮り直してるな,조금 전부터 다시 몇번이나 찍고 있구나
マジ全然キマんないんだよね～,진짜 전혀 재수 없네요~
（自撮りが上手くいかないのか……）,(셀카가 능숙하게 가지 않은 것인지……)
あ～！　それは見てなかったわ～！\r\n……っと,아~! 그것은 보지 않았어요~! \r\n…… 와
うーわ、カメラちょーきたなっ\r\nそりゃキレーに撮れないワケだわ,우와、카메라─오는구나 \r\n그건 예쁘게 찍히지 않는 것이예요
色々やってんだけどあんまし変わんないんだよね～,여러가지 하고 있는 것이지만 그다지 변함없네요~
ま、とりあえず他んとこでもやってみよっと,뭐、우선 다른 곳에서도 해 봐야지
明日にしたらなんか変わんの？\r\n肌のチョーシとか？,내일로 하면 뭔가 바뀌는것? \r\n피부의 쵸시라든지?
え、てか、うち今日化粧ノリいいんですけど～,에、랄까、나 오늘 화장 분위기 타기 좋습니다만~
プロデューサー、今日のステージ、なんかまぶしくない？,프로듀서、오늘의 스테이지、뭔가 눈부시지 않아?
（照明が気になるみたいだ）,(조명이 신경이 쓰이는 것 같다)
ま、それしかないよね～\r\nサンキュ、ちょっと慣らしてくんね！,뭐야、그것 밖에 없지요~\r\n땡큐、조금 익숙해져야겠네!
（不安要素を減らせたな）,(불안 요소를 줄일 수 있었군)
マジで？　あ～でも、迷惑になっちゃうっしょ？\r\n気持ちだけもらっとくわ！　サンキュ！,진짜로? 아~ 하지만、폐 끼치게 되어 버릴까요? \r\n기분만 받아 두어요! 땡큐!
（とりあえず大丈夫そうかな）,(우선 괜찮은 것 같은가)
え～、そんなもん？\r\n絶対まぶしいと思うんだけど～,에~、그런 것? \r\n절대 눈부시다고 생각하지만~
（思った以上に気になっているみたいだ）,(생각한 이상으로 신경이 쓰이고 있는 것 같다)
プロデューサー、見てよ\r\nこのメイク、ちょーヤバくない？,"프로듀서, 봐봐\r\n이 메이크, 초ー쩔지 않아 ?"
マジアガるわ～\r\nプロデューサーもそう思うっしょ？,진심 쩌네 ~\r\n프로듀서도 그렇게 생각하지 ?
愛依！　結果が──,메이! 결과가─
──えー、何それ、マジヤバくない？\r\nそれはないわ～,─에─、그게 뭐야、진짜 위험하지 않아? \r\n그건 아니야~
っと……電話中か……,와…… 전화중인가……
あ！　ゴメンちょっと切るわ！\r\nんじゃね～,아! 미안 조금 끊을게! \r\n응그럼~
ゴメンゴメン！\r\nちょっと長引いちゃった！,미안해 미안해! \r\n조금 오래 끌어 버렸다!
そうか……まぁ、わかった……,그런가…… 뭐、알았다……
一次審査なんだが……,일차 심사이지만……
結果がもう出ちゃった的な！？,결과가 벌써 나와 버린거야!?
愛依、おめでとう！　通過したぞ,메이、축하해! 통과했어
お！　マジで！？\r\nよっしゃ！,오! 진짜로!? \r\n아자!
やっぱ～、うちってゲーノー人の才能あるっぽくない？,역시~、나는 연예인의 재능 있는거 같지 않아?
大物になっちゃったりしてな,거물이 되어 버리거나 해서 말이야
でしょでしょ～、プロデューサー\r\nマジ、楽しみにしちゃっててよ～,그렇지 그렇지~、프로듀서\r\n진짜、기대해 버려 있어~
もちろんだ\r\n愛依のこと、これからも全力でサポートしてくよ,물론이다\r\n메이의 일、앞으로도 전력으로 서포트해 간다
ま、とはいえ次の二次審査は今回より厳しくなるからな\r\n気を引き締めていこう,뭐、라고 해도다음의 2차 심사는 이번보다 엄격해지기 때문\r\n마음을 단단히 먹어 가자
そりゃそーっしょ\r\nうちだって手を抜くつもりなんてないもんね,그건 그렇고\r\n나는 대충 할 생각은 없는 거네
うちらで力合わせて\r\n次もバッチリ決めるしかないっしょ！,울덜으로 힘 맞추어\r\n다음도 확실히 결정할 수 밖에 없을 것입니다!
ああ、俺も気合を入れなおすよ,아아、나도 기합을 다시 넣는다
明日からもヨロシクね～、プロデューサー,내일로부터도 잘 부탁해~、프로듀서
プロデューサーってさ～\r\n友達と電話すっときどんくらいする～？,프로듀서는~\r\n친구와 전화 많이 해~?
考えたことなかったな……\r\nどうしてだ？,생각한 적 없구나……\r\n무슨 일인데?
いやうちさ、ついつい長電話しちゃうんだよね～,아니 나、무심코 장시간전화해 버리는거네요~
（気にしてるのか？）,(신경쓰고 있는지?)
あれ、そう思ってくれちゃう？,어라、그렇게 생각해 주는거야?
でも確かに楽しいもんね～\r\nサンキュ！　気にすることなかったわ！,그렇지만 확실히 즐거운 거네~\r\n땡큐! 신경쓰는 것 없었어요!
電話すっときはガッツリしちゃって\r\n他のことすっときはしっかり！　みたいな？,전화 통화 재빠르게 하고\r\n다른 일 재빠르게 확실히! 같은?
まぁ、そりゃそーだよね～,뭐、그것은 그렇네요~
まぁ、ありっちゃありだよね～,뭐、좋은 생각이네~
あ、でも話、集中できなくなっかも……,아、그렇지만 이야기、집중을 못할지도……
あの曲、もっといいカンジに歌いたいんだけどさ～,"그 곡, 좀 더 좋은 느낌으로 노래하고 싶은데 말야 ~"
今週、ボーカルレッスンってできる～？,"이번 주, 보컬레슨 할 수 있어 ~ ?"
～♪\r\nどう、上手くなったっしょ～,"~♪\r\n어때, 능숙해졌지 ~"
今度カラオケでも歌おっかな～\r\nサンキュ！　プロデューサー,다음에 노래방에서도 노래해볼까나 ~\r\n땡큐 ! 프로듀서
うっわあの人、テレビでよく見る人じゃん……！,으와 그 사람、텔레비젼으로 자주(잘) 보는 사람이잖아……!
（愛依、少し腰が引けちゃってるな）,(메이、조금 엉거주춤 해 버리고 있구나)
え、そうなん？　んじゃ後で話しかけてみよ～！,에、그런 응? 그러면 다음에 말을 걸어 봐라~!
（気は紛れたみたいだ）,(기분은 잊혀진 것 같다)
そ、そだよね……よし\r\n気にしない、気にしない……っと,그、그렇네요…… 좋아\r\n신경쓰지 않는、신경쓰지 않는…… 와
（なんとかなりそうだな）,(어떻게든 될 것 같다)
いや、んなこと言っても気になんじゃん？,아니、그런 일 말해도 기분에면 응?
（違うことを言えばよかったな）,(다른 것을 말하면 좋았을텐데)
プロデューサー、今回、バッチリだったカンジじゃん？,프로듀서、이번、확실히였던 느낌이잖아?
ああ、しっかりとできていたぞ！,아아、제대로 되어 있었어!
サンキュ！　うちもなんか、いつもよりちょびっと\r\nやれてるっぽいなぁって思ったんだよね～,땡큐! 나도 무엇인가、평소보다 조금\r\n되어지고 있는 같다라고 생각한 거네요~
この調子で、次もガンガン行っちゃうよ～,이 상태로、다음도 땅땅 가 버린다~
はは、頼もしい限りだな\r\nでも、確かに今の愛依の勢いなら本当にやれそうだ,하하、믿음직할 따름이다\r\n하지만、확실히 지금의 메이의 기세라면 정말로 할 수 있을 것 같다
おっけ、うち頑張っちゃうから期待しててよね！,나 노력해 버리기 때문에 기대하고 있어군요!
楽しみにしてるぞ,기대하고 있겠어
プロデューサー、どうだった？,"프로듀서, 어땠어 ?"
最近は少しずつだが、カメラを意識できていると思うぞ,"최근에는 조금씩이지만, 카메라를 의식할 수 있게 됐다고 생각해"
うん、そう思う,"응, 그렇게 생각해"
……ところで、もう普通にして大丈夫だぞ,"…… 그런데, 이제 평소처럼 해도 괜찮아"
